year,quarter,emission_medium,pollutant_type,quantity_kg,location,regulatory_limit_kg,monitoring_method,discharge_point,exceedance_flag,facility_type,unit,permit_id,regulator,lab_accreditation,test_report_id
2017,Q1,Water,Oil & Grease,10.63,Hazira Refinery,560.0,Auto-sampler 24h composite,HAZ-W-6524,No,Refinery,kg,PCB-HAZI-79793,GPCB (Gujarat),MoEF Recognised,TR-2017Q1-054798
2017,Q1,Water,Total Nitrogen,35.34,Hazira Refinery,1260.0,Manual grab sampling,HAZ-W-4709,No,Refinery,kg,PCB-HAZI-79793,GPCB (Gujarat),External — DNV,TR-2017Q1-573580
2017,Q1,Water,Total Phosphorus,8.23,Hazira Refinery,392.0,Auto-sampler 24h composite,HAZ-W-5782,No,Refinery,kg,PCB-HAZI-79793,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-651899
2017,Q1,Water,Heavy Metals (Pb),1.07,Hazira Refinery,44.8,Auto-sampler 24h composite,HAZ-W-5008,No,Refinery,kg,PCB-HAZI-79793,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-408983
2017,Q1,Water,Heavy Metals (Hg),0.24,Hazira Refinery,11.2,Auto-sampler 24h composite,HAZ-W-4443,No,Refinery,kg,PCB-HAZI-79793,KSPCB (Karnataka),NABL,TR-2017Q1-103786
2017,Q1,Land,Hazardous Sludge,215.28,Hazira Refinery,8680.0,Lab analysis,HAZ-L-2506,No,Refinery,kg,PCB-HAZI-10430,WBPCB (West Bengal),External — DNV,TR-2017Q1-956506
2017,Q1,Land,Spent Catalyst,170.92,Hazira Refinery,5600.0,Lab analysis,HAZ-L-7267,No,Refinery,kg,PCB-HAZI-10430,OSPCB (Odisha),ISO 17025,TR-2017Q1-788739
2017,Q1,Air,NOx,261.79,Jamnagar Polymer Plant,10800.0,Manual stack sampling,JAM-A-8241,No,Petchem,kg,PCB-JAMN-23828,CPCB (Central PCB),NABL + ISO 17025,TR-2017Q1-162580
2017,Q1,Air,SOx,219.31,Jamnagar Polymer Plant,13200.0,CEMS — Continuous,JAM-A-8201,No,Petchem,kg,PCB-JAMN-23828,MPCB (Maharashtra),MoEF Recognised,TR-2017Q1-925321
2017,Q1,Air,PM10,35.38,Jamnagar Polymer Plant,2160.0,Manual stack sampling,JAM-A-5359,No,Petchem,kg,PCB-JAMN-23828,MPCB (Maharashtra),MoEF Recognised,TR-2017Q1-066895
2017,Q1,Air,PM2.5,27.66,Jamnagar Polymer Plant,1320.0,Manual stack sampling,JAM-A-2427,No,Petchem,kg,PCB-JAMN-23828,GPCB (Gujarat),MoEF Recognised,TR-2017Q1-278511
2017,Q1,Air,VOC,74.9,Jamnagar Polymer Plant,3840.0,CEMS — Continuous,JAM-A-2285,No,Petchem,kg,PCB-JAMN-23828,APPCB (Andhra Pradesh),NABL + ISO 17025,TR-2017Q1-561105
2017,Q1,Air,CO,28.62,Jamnagar Polymer Plant,1680.0,CEMS — Continuous,JAM-A-1703,No,Petchem,kg,PCB-JAMN-23828,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-761610
2017,Q1,Air,NH3,12.92,Jamnagar Polymer Plant,744.0,Manual stack sampling,JAM-A-3534,No,Petchem,kg,PCB-JAMN-23828,KSPCB (Karnataka),NABL,TR-2017Q1-715157
2017,Q1,Water,BOD,46.91,Jamnagar Polymer Plant,3000.0,Auto-sampler 24h composite,JAM-W-7463,No,Petchem,kg,PCB-JAMN-86369,APPCB (Andhra Pradesh),NABL,TR-2017Q1-132424
2017,Q1,Water,COD,166.39,Jamnagar Polymer Plant,8400.0,Auto-sampler 24h composite,JAM-W-9235,No,Petchem,kg,PCB-JAMN-86369,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-741767
2017,Q1,Water,TSS,104.19,Jamnagar Polymer Plant,5400.0,Auto-sampler 24h composite,JAM-W-2471,No,Petchem,kg,PCB-JAMN-86369,WBPCB (West Bengal),MoEF Recognised,TR-2017Q1-555483
2017,Q1,Water,Oil & Grease,8.61,Jamnagar Polymer Plant,480.0,Manual grab sampling,JAM-W-3837,No,Petchem,kg,PCB-JAMN-86369,GPCB (Gujarat),External — DNV,TR-2017Q1-264320
2017,Q1,Water,Total Nitrogen,17.57,Jamnagar Polymer Plant,1080.0,Online TOC analyser,JAM-W-7396,No,Petchem,kg,PCB-JAMN-86369,MPCB (Maharashtra),NABL + ISO 17025,TR-2017Q1-408393
2017,Q1,Water,Total Phosphorus,6.19,Jamnagar Polymer Plant,336.0,Online TOC analyser,JAM-W-3095,No,Petchem,kg,PCB-JAMN-86369,WBPCB (West Bengal),External — DNV,TR-2017Q1-330074
2017,Q1,Water,Heavy Metals (Pb),0.62,Jamnagar Polymer Plant,38.4,Auto-sampler 24h composite,JAM-W-9096,No,Petchem,kg,PCB-JAMN-86369,GPCB (Gujarat),ISO 17025,TR-2017Q1-120763
2017,Q1,Water,Heavy Metals (Hg),0.17,Jamnagar Polymer Plant,9.6,Auto-sampler 24h composite,JAM-W-3998,No,Petchem,kg,PCB-JAMN-86369,WBPCB (West Bengal),External — DNV,TR-2017Q1-127097
2017,Q1,Land,Hazardous Sludge,165.78,Jamnagar Polymer Plant,7440.0,Manifest reconciliation,JAM-L-2598,No,Petchem,kg,PCB-JAMN-44268,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-244727
2017,Q1,Land,Spent Catalyst,108.24,Jamnagar Polymer Plant,4800.0,Lab analysis,JAM-L-4245,No,Petchem,kg,PCB-JAMN-44268,TNPCB (Tamil Nadu),MoEF Recognised,TR-2017Q1-500519
2017,Q1,Air,NOx,175.95,Vadodara Chemicals,10800.0,Manual stack sampling,VAD-A-2738,No,Petchem,kg,PCB-VADO-35705,GPCB (Gujarat),ISO 17025,TR-2017Q1-023848
2017,Q1,Air,SOx,225.66,Vadodara Chemicals,13200.0,CEMS — Continuous,VAD-A-4564,No,Petchem,kg,PCB-VADO-35705,TNPCB (Tamil Nadu),MoEF Recognised,TR-2017Q1-786589
2017,Q1,Air,PM10,23.59,Vadodara Chemicals,2160.0,CEMS — Continuous,VAD-A-7103,No,Petchem,kg,PCB-VADO-35705,GPCB (Gujarat),ISO 17025,TR-2017Q1-404770
2017,Q1,Air,PM2.5,16.61,Vadodara Chemicals,1320.0,CEMS — Continuous,VAD-A-1727,No,Petchem,kg,PCB-VADO-35705,WBPCB (West Bengal),External — DNV,TR-2017Q1-956319
2017,Q1,Air,VOC,50.19,Vadodara Chemicals,3840.0,CEMS — Continuous,VAD-A-5922,No,Petchem,kg,PCB-VADO-35705,CPCB (Central PCB),ISO 17025,TR-2017Q1-031280
2017,Q1,Air,CO,19.55,Vadodara Chemicals,1680.0,CEMS — Continuous,VAD-A-2451,No,Petchem,kg,PCB-VADO-35705,TNPCB (Tamil Nadu),NABL,TR-2017Q1-838811
2017,Q1,Air,NH3,8.89,Vadodara Chemicals,744.0,Manual stack sampling,VAD-A-9025,No,Petchem,kg,PCB-VADO-35705,MPCB (Maharashtra),External — DNV,TR-2017Q1-366161
2017,Q1,Water,BOD,49.56,Vadodara Chemicals,3000.0,Auto-sampler 24h composite,VAD-W-7814,No,Petchem,kg,PCB-VADO-23842,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-509095
2017,Q1,Water,COD,137.61,Vadodara Chemicals,8400.0,Online TOC analyser,VAD-W-7801,No,Petchem,kg,PCB-VADO-23842,TNPCB (Tamil Nadu),MoEF Recognised,TR-2017Q1-481958
2017,Q1,Water,TSS,65.18,Vadodara Chemicals,5400.0,Auto-sampler 24h composite,VAD-W-5981,No,Petchem,kg,PCB-VADO-23842,MPCB (Maharashtra),External — DNV,TR-2017Q1-314208
2017,Q1,Water,Oil & Grease,5.25,Vadodara Chemicals,480.0,Auto-sampler 24h composite,VAD-W-2568,No,Petchem,kg,PCB-VADO-23842,GPCB (Gujarat),NABL,TR-2017Q1-752301
2017,Q1,Water,Total Nitrogen,11.83,Vadodara Chemicals,1080.0,Manual grab sampling,VAD-W-2815,No,Petchem,kg,PCB-VADO-23842,MPCB (Maharashtra),ISO 17025,TR-2017Q1-271084
2017,Q1,Water,Total Phosphorus,3.4,Vadodara Chemicals,336.0,Online TOC analyser,VAD-W-3310,No,Petchem,kg,PCB-VADO-23842,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-349403
2017,Q1,Water,Heavy Metals (Pb),0.4,Vadodara Chemicals,38.4,Auto-sampler 24h composite,VAD-W-8484,No,Petchem,kg,PCB-VADO-23842,OSPCB (Odisha),NABL + ISO 17025,TR-2017Q1-711479
2017,Q1,Water,Heavy Metals (Hg),0.07,Vadodara Chemicals,9.6,Online TOC analyser,VAD-W-3209,No,Petchem,kg,PCB-VADO-23842,MPCB (Maharashtra),NABL + ISO 17025,TR-2017Q1-402906
2017,Q1,Land,Hazardous Sludge,121.81,Vadodara Chemicals,7440.0,Manifest reconciliation,VAD-L-1556,No,Petchem,kg,PCB-VADO-15265,OSPCB (Odisha),MoEF Recognised,TR-2017Q1-355695
2017,Q1,Land,Spent Catalyst,51.79,Vadodara Chemicals,4800.0,Lab analysis,VAD-L-8217,No,Petchem,kg,PCB-VADO-15265,APPCB (Andhra Pradesh),MoEF Recognised,TR-2017Q1-028854
2017,Q1,Air,NOx,101.69,Paradip Plant,10800.0,CEMS — Continuous,PAR-A-7418,No,Petchem,kg,PCB-PARA-35978,KSPCB (Karnataka),NABL,TR-2017Q1-555022
2017,Q1,Air,SOx,114.58,Paradip Plant,13200.0,CEMS — Continuous,PAR-A-9024,No,Petchem,kg,PCB-PARA-35978,OSPCB (Odisha),ISO 17025,TR-2017Q1-792280
2017,Q1,Air,PM10,29.61,Paradip Plant,2160.0,CEMS — Continuous,PAR-A-6182,No,Petchem,kg,PCB-PARA-35978,MPCB (Maharashtra),ISO 17025,TR-2017Q1-096094
2017,Q1,Air,PM2.5,13.33,Paradip Plant,1320.0,CEMS — Continuous,PAR-A-9524,No,Petchem,kg,PCB-PARA-35978,GPCB (Gujarat),ISO 17025,TR-2017Q1-013979
2017,Q1,Air,VOC,55.19,Paradip Plant,3840.0,CEMS — Continuous,PAR-A-1462,No,Petchem,kg,PCB-PARA-35978,TNPCB (Tamil Nadu),NABL + ISO 17025,TR-2017Q1-601883
2017,Q1,Air,CO,16.63,Paradip Plant,1680.0,Manual stack sampling,PAR-A-9752,No,Petchem,kg,PCB-PARA-35978,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-173509
2017,Q1,Air,NH3,9.93,Paradip Plant,744.0,Manual stack sampling,PAR-A-1131,No,Petchem,kg,PCB-PARA-35978,WBPCB (West Bengal),NABL,TR-2017Q1-127056
2017,Q1,Water,BOD,38.55,Paradip Plant,3000.0,Manual grab sampling,PAR-W-8815,No,Petchem,kg,PCB-PARA-95441,KSPCB (Karnataka),MoEF Recognised,TR-2017Q1-642993
2017,Q1,Water,COD,122.29,Paradip Plant,8400.0,Online TOC analyser,PAR-W-1186,No,Petchem,kg,PCB-PARA-95441,WBPCB (West Bengal),NABL,TR-2017Q1-329869
2017,Q1,Water,TSS,60.08,Paradip Plant,5400.0,Manual grab sampling,PAR-W-1648,No,Petchem,kg,PCB-PARA-95441,TNPCB (Tamil Nadu),External — DNV,TR-2017Q1-718472
2017,Q1,Water,Oil & Grease,4.6,Paradip Plant,480.0,Auto-sampler 24h composite,PAR-W-5939,No,Petchem,kg,PCB-PARA-95441,CPCB (Central PCB),External — DNV,TR-2017Q1-904390
2017,Q1,Water,Total Nitrogen,11.24,Paradip Plant,1080.0,Auto-sampler 24h composite,PAR-W-8444,No,Petchem,kg,PCB-PARA-95441,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-273699
2017,Q1,Water,Total Phosphorus,4.48,Paradip Plant,336.0,Online TOC analyser,PAR-W-6681,No,Petchem,kg,PCB-PARA-95441,APPCB (Andhra Pradesh),ISO 17025,TR-2017Q1-501492
2017,Q1,Water,Heavy Metals (Pb),0.26,Paradip Plant,38.4,Auto-sampler 24h composite,PAR-W-8145,No,Petchem,kg,PCB-PARA-95441,KSPCB (Karnataka),NABL,TR-2017Q1-559390
2017,Q1,Water,Heavy Metals (Hg),0.09,Paradip Plant,9.6,Auto-sampler 24h composite,PAR-W-5778,No,Petchem,kg,PCB-PARA-95441,TNPCB (Tamil Nadu),NABL,TR-2017Q1-554995
2017,Q1,Land,Hazardous Sludge,68.69,Paradip Plant,7440.0,Weighbridge data,PAR-L-1775,No,Petchem,kg,PCB-PARA-15538,KSPCB (Karnataka),MoEF Recognised,TR-2017Q1-664371
2017,Q1,Land,Spent Catalyst,55.31,Paradip Plant,4800.0,Manifest reconciliation,PAR-L-5068,No,Petchem,kg,PCB-PARA-15538,KSPCB (Karnataka),NABL,TR-2017Q1-337530
2017,Q1,Air,NOx,122.99,Haldia Petchem,10800.0,CEMS — Continuous,HAL-A-5038,No,Petchem,kg,PCB-HALD-57241,APPCB (Andhra Pradesh),ISO 17025,TR-2017Q1-958867
2017,Q1,Air,SOx,132.81,Haldia Petchem,13200.0,Manual stack sampling,HAL-A-3212,No,Petchem,kg,PCB-HALD-57241,GPCB (Gujarat),ISO 17025,TR-2017Q1-196126
2017,Q1,Air,PM10,24.81,Haldia Petchem,2160.0,CEMS — Continuous,HAL-A-1737,No,Petchem,kg,PCB-HALD-57241,TNPCB (Tamil Nadu),External — DNV,TR-2017Q1-386449
2017,Q1,Air,PM2.5,9.15,Haldia Petchem,1320.0,CEMS — Continuous,HAL-A-5921,No,Petchem,kg,PCB-HALD-57241,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-531435
2017,Q1,Air,VOC,36.14,Haldia Petchem,3840.0,CEMS — Continuous,HAL-A-5907,No,Petchem,kg,PCB-HALD-57241,KSPCB (Karnataka),MoEF Recognised,TR-2017Q1-030134
2017,Q1,Air,CO,15.97,Haldia Petchem,1680.0,Manual stack sampling,HAL-A-9291,No,Petchem,kg,PCB-HALD-57241,TNPCB (Tamil Nadu),External — DNV,TR-2017Q1-442056
2017,Q1,Air,NH3,8.05,Haldia Petchem,744.0,CEMS — Continuous,HAL-A-9040,No,Petchem,kg,PCB-HALD-57241,GPCB (Gujarat),MoEF Recognised,TR-2017Q1-546983
2017,Q1,Water,BOD,33.28,Haldia Petchem,3000.0,Auto-sampler 24h composite,HAL-W-2783,No,Petchem,kg,PCB-HALD-32485,MPCB (Maharashtra),External — DNV,TR-2017Q1-441743
2017,Q1,Water,COD,60.07,Haldia Petchem,8400.0,Auto-sampler 24h composite,HAL-W-1656,No,Petchem,kg,PCB-HALD-32485,OSPCB (Odisha),External — DNV,TR-2017Q1-527980
2017,Q1,Water,TSS,64.03,Haldia Petchem,5400.0,Auto-sampler 24h composite,HAL-W-9950,No,Petchem,kg,PCB-HALD-32485,OSPCB (Odisha),NABL,TR-2017Q1-825231
2017,Q1,Water,Oil & Grease,4.2,Haldia Petchem,480.0,Manual grab sampling,HAL-W-6409,No,Petchem,kg,PCB-HALD-32485,MPCB (Maharashtra),NABL,TR-2017Q1-309847
2017,Q1,Water,Total Nitrogen,10.08,Haldia Petchem,1080.0,Manual grab sampling,HAL-W-7974,No,Petchem,kg,PCB-HALD-32485,OSPCB (Odisha),External — DNV,TR-2017Q1-131549
2017,Q1,Water,Total Phosphorus,3.4,Haldia Petchem,336.0,Manual grab sampling,HAL-W-7151,No,Petchem,kg,PCB-HALD-32485,WBPCB (West Bengal),NABL + ISO 17025,TR-2017Q1-712745
2017,Q1,Water,Heavy Metals (Pb),0.26,Haldia Petchem,38.4,Auto-sampler 24h composite,HAL-W-7675,No,Petchem,kg,PCB-HALD-32485,GPCB (Gujarat),ISO 17025,TR-2017Q1-298459
2017,Q1,Water,Heavy Metals (Hg),0.06,Haldia Petchem,9.6,Online TOC analyser,HAL-W-6248,No,Petchem,kg,PCB-HALD-32485,OSPCB (Odisha),NABL,TR-2017Q1-659242
2017,Q1,Land,Hazardous Sludge,62.01,Haldia Petchem,7440.0,Lab analysis,HAL-L-5525,No,Petchem,kg,PCB-HALD-80024,MPCB (Maharashtra),NABL,TR-2017Q1-096847
2017,Q1,Land,Spent Catalyst,38.27,Haldia Petchem,4800.0,Lab analysis,HAL-L-4376,No,Petchem,kg,PCB-HALD-80024,APPCB (Andhra Pradesh),NABL,TR-2017Q1-831610
2017,Q1,Air,NOx,71.92,Gandhar Gas Cracker,10800.0,CEMS — Continuous,GAN-A-4193,No,Petchem,kg,PCB-GAND-10444,MPCB (Maharashtra),NABL,TR-2017Q1-708469
2017,Q1,Air,SOx,95.74,Gandhar Gas Cracker,13200.0,Manual stack sampling,GAN-A-3249,No,Petchem,kg,PCB-GAND-10444,WBPCB (West Bengal),NABL,TR-2017Q1-471211
2017,Q1,Air,PM10,23.56,Gandhar Gas Cracker,2160.0,CEMS — Continuous,GAN-A-2582,No,Petchem,kg,PCB-GAND-10444,OSPCB (Odisha),External — DNV,TR-2017Q1-910607
2017,Q1,Air,PM2.5,13.79,Gandhar Gas Cracker,1320.0,CEMS — Continuous,GAN-A-7379,No,Petchem,kg,PCB-GAND-10444,MPCB (Maharashtra),MoEF Recognised,TR-2017Q1-147970
2017,Q1,Air,VOC,42.75,Gandhar Gas Cracker,3840.0,Manual stack sampling,GAN-A-3763,No,Petchem,kg,PCB-GAND-10444,TNPCB (Tamil Nadu),NABL + ISO 17025,TR-2017Q1-015216
2017,Q1,Air,CO,17.53,Gandhar Gas Cracker,1680.0,CEMS — Continuous,GAN-A-1136,No,Petchem,kg,PCB-GAND-10444,APPCB (Andhra Pradesh),ISO 17025,TR-2017Q1-154190
2017,Q1,Air,NH3,5.5,Gandhar Gas Cracker,744.0,CEMS — Continuous,GAN-A-6906,No,Petchem,kg,PCB-GAND-10444,GPCB (Gujarat),NABL + ISO 17025,TR-2017Q1-390548
2017,Q1,Water,BOD,23.83,Gandhar Gas Cracker,3000.0,Auto-sampler 24h composite,GAN-W-7989,No,Petchem,kg,PCB-GAND-82513,OSPCB (Odisha),NABL,TR-2017Q1-496523
2017,Q1,Water,COD,88.09,Gandhar Gas Cracker,8400.0,Online TOC analyser,GAN-W-9116,No,Petchem,kg,PCB-GAND-82513,APPCB (Andhra Pradesh),MoEF Recognised,TR-2017Q1-605840
2017,Q1,Water,TSS,48.99,Gandhar Gas Cracker,5400.0,Auto-sampler 24h composite,GAN-W-4666,No,Petchem,kg,PCB-GAND-82513,CPCB (Central PCB),External — DNV,TR-2017Q1-442501
2017,Q1,Water,Oil & Grease,3.06,Gandhar Gas Cracker,480.0,Online TOC analyser,GAN-W-4363,No,Petchem,kg,PCB-GAND-82513,GPCB (Gujarat),NABL,TR-2017Q1-628419
2017,Q1,Water,Total Nitrogen,10.25,Gandhar Gas Cracker,1080.0,Auto-sampler 24h composite,GAN-W-6870,No,Petchem,kg,PCB-GAND-82513,CPCB (Central PCB),MoEF Recognised,TR-2017Q1-044294
2017,Q1,Water,Total Phosphorus,2.76,Gandhar Gas Cracker,336.0,Auto-sampler 24h composite,GAN-W-3621,No,Petchem,kg,PCB-GAND-82513,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-965974
2017,Q1,Water,Heavy Metals (Pb),0.22,Gandhar Gas Cracker,38.4,Manual grab sampling,GAN-W-7169,No,Petchem,kg,PCB-GAND-82513,MPCB (Maharashtra),NABL,TR-2017Q1-045230
2017,Q1,Water,Heavy Metals (Hg),0.05,Gandhar Gas Cracker,9.6,Online TOC analyser,GAN-W-4524,No,Petchem,kg,PCB-GAND-82513,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-428498
2017,Q1,Land,Hazardous Sludge,78.22,Gandhar Gas Cracker,7440.0,Lab analysis,GAN-L-9241,No,Petchem,kg,PCB-GAND-80004,KSPCB (Karnataka),MoEF Recognised,TR-2017Q1-401014
2017,Q1,Land,Spent Catalyst,41.2,Gandhar Gas Cracker,4800.0,Manifest reconciliation,GAN-L-1468,No,Petchem,kg,PCB-GAND-80004,TNPCB (Tamil Nadu),MoEF Recognised,TR-2017Q1-344232
2017,Q1,Air,NOx,116.5,Dahej Industrial Cluster,10800.0,Manual stack sampling,DAH-A-8627,No,Petchem,kg,PCB-DAHE-21440,TNPCB (Tamil Nadu),External — DNV,TR-2017Q1-752199
2017,Q1,Air,SOx,95.8,Dahej Industrial Cluster,13200.0,CEMS — Continuous,DAH-A-9547,No,Petchem,kg,PCB-DAHE-21440,GPCB (Gujarat),MoEF Recognised,TR-2017Q1-989457
2017,Q1,Air,PM10,18.12,Dahej Industrial Cluster,2160.0,Manual stack sampling,DAH-A-7611,No,Petchem,kg,PCB-DAHE-21440,KSPCB (Karnataka),NABL + ISO 17025,TR-2017Q1-101083
2017,Q1,Air,PM2.5,14.08,Dahej Industrial Cluster,1320.0,CEMS — Continuous,DAH-A-5441,No,Petchem,kg,PCB-DAHE-21440,GPCB (Gujarat),ISO 17025,TR-2017Q1-462173
2017,Q1,Air,VOC,33.81,Dahej Industrial Cluster,3840.0,CEMS — Continuous,DAH-A-9033,No,Petchem,kg,PCB-DAHE-21440,APPCB (Andhra Pradesh),MoEF Recognised,TR-2017Q1-744767
2017,Q1,Air,CO,14.8,Dahej Industrial Cluster,1680.0,CEMS — Continuous,DAH-A-6165,No,Petchem,kg,PCB-DAHE-21440,OSPCB (Odisha),ISO 17025,TR-2017Q1-344665
2017,Q1,Air,NH3,5.43,Dahej Industrial Cluster,744.0,CEMS — Continuous,DAH-A-5214,No,Petchem,kg,PCB-DAHE-21440,APPCB (Andhra Pradesh),External — DNV,TR-2017Q1-680969
2017,Q1,Water,BOD,20.22,Dahej Industrial Cluster,3000.0,Online TOC analyser,DAH-W-2343,No,Petchem,kg,PCB-DAHE-85420,OSPCB (Odisha),ISO 17025,TR-2017Q1-035119
2017,Q1,Water,COD,80.93,Dahej Industrial Cluster,8400.0,Online TOC analyser,DAH-W-7530,No,Petchem,kg,PCB-DAHE-85420,KSPCB (Karnataka),NABL + ISO 17025,TR-2017Q1-258741
2017,Q1,Water,TSS,60.02,Dahej Industrial Cluster,5400.0,Online TOC analyser,DAH-W-4304,No,Petchem,kg,PCB-DAHE-85420,APPCB (Andhra Pradesh),NABL,TR-2017Q1-831622
2017,Q1,Water,Oil & Grease,5.01,Dahej Industrial Cluster,480.0,Manual grab sampling,DAH-W-7717,No,Petchem,kg,PCB-DAHE-85420,WBPCB (West Bengal),MoEF Recognised,TR-2017Q1-167015
2017,Q1,Water,Total Nitrogen,10.75,Dahej Industrial Cluster,1080.0,Auto-sampler 24h composite,DAH-W-3516,No,Petchem,kg,PCB-DAHE-85420,OSPCB (Odisha),ISO 17025,TR-2017Q1-655172
2017,Q1,Water,Total Phosphorus,3.12,Dahej Industrial Cluster,336.0,Manual grab sampling,DAH-W-6975,No,Petchem,kg,PCB-DAHE-85420,APPCB (Andhra Pradesh),External — DNV,TR-2017Q1-427379
2017,Q1,Water,Heavy Metals (Pb),0.19,Dahej Industrial Cluster,38.4,Auto-sampler 24h composite,DAH-W-1801,No,Petchem,kg,PCB-DAHE-85420,MPCB (Maharashtra),NABL,TR-2017Q1-434351
2017,Q1,Land,Hazardous Sludge,58.63,Dahej Industrial Cluster,7440.0,Weighbridge data,DAH-L-8729,No,Petchem,kg,PCB-DAHE-82911,APPCB (Andhra Pradesh),NABL,TR-2017Q1-790135
2017,Q1,Land,Spent Catalyst,45.62,Dahej Industrial Cluster,4800.0,Manifest reconciliation,DAH-L-7114,No,Petchem,kg,PCB-DAHE-82911,APPCB (Andhra Pradesh),MoEF Recognised,TR-2017Q1-955110
2017,Q1,Air,NOx,90.52,Nagothane Plant,10800.0,Manual stack sampling,NAG-A-5878,No,Petchem,kg,PCB-NAGO-32328,MPCB (Maharashtra),NABL,TR-2017Q1-428712
2017,Q1,Air,SOx,90.99,Nagothane Plant,13200.0,CEMS — Continuous,NAG-A-3296,No,Petchem,kg,PCB-NAGO-32328,KSPCB (Karnataka),NABL,TR-2017Q1-256643
2017,Q1,Air,PM10,20.54,Nagothane Plant,2160.0,CEMS — Continuous,NAG-A-6138,No,Petchem,kg,PCB-NAGO-32328,APPCB (Andhra Pradesh),NABL + ISO 17025,TR-2017Q1-777595
2017,Q1,Air,PM2.5,11.85,Nagothane Plant,1320.0,Manual stack sampling,NAG-A-2796,No,Petchem,kg,PCB-NAGO-32328,OSPCB (Odisha),NABL,TR-2017Q1-182311
2017,Q1,Air,VOC,37.29,Nagothane Plant,3840.0,CEMS — Continuous,NAG-A-2834,No,Petchem,kg,PCB-NAGO-32328,APPCB (Andhra Pradesh),MoEF Recognised,TR-2017Q1-770215
2017,Q1,Air,CO,11.63,Nagothane Plant,1680.0,CEMS — Continuous,NAG-A-3416,No,Petchem,kg,PCB-NAGO-32328,MPCB (Maharashtra),External — DNV,TR-2017Q1-829681
2017,Q1,Air,NH3,4.89,Nagothane Plant,744.0,CEMS — Continuous,NAG-A-3165,No,Petchem,kg,PCB-NAGO-32328,OSPCB (Odisha),MoEF Recognised,TR-2017Q1-253366
2017,Q1,Water,BOD,18.14,Nagothane Plant,3000.0,Manual grab sampling,NAG-W-8918,No,Petchem,kg,PCB-NAGO-14397,GPCB (Gujarat),NABL + ISO 17025,TR-2017Q1-640658
2017,Q1,Water,COD,80.86,Nagothane Plant,8400.0,Auto-sampler 24h composite,NAG-W-6836,No,Petchem,kg,PCB-NAGO-14397,GPCB (Gujarat),ISO 17025,TR-2017Q1-472828
