year,quarter,revenue_inr_crores,ebitda_inr_crores,ebitda_margin_pct,pat_inr_crores,roa_pct,roe_pct,debt_equity_ratio,cost_of_capital_pct,pe_ratio,carbon_tax_exposure_lakhs,energy_cost_inr_crores,employee_turnover_pct,brand_value_index,talent_retention_score,esg_linked_capex_inr_crores
2019,Q3,507.94,113.47,22.34,68.97,7.34,13.8,0.486,10.86,25.9,32.0,15.77,18.23,73.5,81.1,28.4
2019,Q4,504.2,116.12,23.03,65.14,8.48,15.63,0.571,10.7,16.9,42.8,16.85,15.96,72.7,77.8,38.73
2020,Q1,505.65,103.37,20.44,64.27,7.27,14.2,0.531,10.29,22.8,35.3,14.72,12.0,70.8,73.2,35.85
2020,Q2,496.99,106.43,21.42,63.17,9.39,16.85,0.539,10.17,21.5,41.4,16.77,14.59,69.9,79.1,23.96
2020,Q3,531.32,116.94,22.01,78.93,6.4,15.27,0.503,10.45,21.1,35.0,15.42,14.1,70.5,79.4,41.42
2020,Q4,545.73,120.74,22.12,68.03,6.65,14.59,0.524,9.9,25.1,48.1,18.76,14.37,68.8,78.9,34.41
2021,Q1,554.78,137.9,24.86,79.28,7.6,16.97,0.402,10.74,17.5,47.2,16.18,13.96,68.3,80.3,41.85
2021,Q2,509.05,113.33,22.26,66.72,9.08,15.25,0.375,10.46,21.4,41.1,16.5,14.81,69.1,78.5,44.0
2021,Q3,544.88,123.93,22.75,78.84,5.43,14.56,0.614,10.2,22.3,34.9,14.64,13.26,73.5,77.9,31.62
2021,Q4,582.01,135.32,23.25,82.25,7.98,17.3,0.476,10.59,21.7,48.9,19.26,14.94,70.6,80.8,39.1
2022,Q1,568.35,124.33,21.88,79.42,10.18,16.43,0.533,10.07,15.9,37.1,17.71,14.46,74.8,80.3,52.39
2022,Q2,553.22,124.79,22.56,77.03,8.04,15.25,0.396,10.07,21.9,31.2,16.53,11.92,70.7,82.5,48.72
2022,Q3,600.86,137.05,22.81,93.13,9.62,15.17,0.524,10.78,23.8,35.2,16.2,14.99,70.4,77.5,47.56
2022,Q4,595.89,145.65,24.44,80.23,9.62,18.08,0.48,10.98,21.9,35.2,19.22,16.33,71.9,77.6,59.7
2023,Q1,599.3,146.32,24.42,95.47,7.11,16.94,0.396,10.42,22.5,39.8,16.97,12.31,71.8,80.0,53.17
2023,Q2,564.4,136.42,24.17,82.58,7.85,15.43,0.501,10.96,23.0,31.7,19.68,15.03,73.4,78.5,63.16
2023,Q3,635.14,162.95,25.66,92.74,8.11,17.25,0.405,9.81,17.7,50.9,18.36,12.62,75.9,78.1,70.56
2023,Q4,630.35,139.35,22.11,83.27,9.53,15.4,0.399,9.55,23.5,42.3,18.36,13.6,73.9,80.0,64.68
2024,Q1,649.96,160.01,24.62,97.29,9.5,16.94,0.39,10.22,28.3,41.1,19.39,12.72,74.1,82.0,49.81
2024,Q2,610.33,147.12,24.1,92.45,8.87,17.6,0.367,10.57,18.3,41.9,18.12,13.66,78.7,79.9,40.14
2024,Q3,649.29,146.59,22.58,81.64,8.3,16.57,0.411,10.12,24.8,32.5,20.02,13.37,73.0,80.9,42.96
2024,Q4,661.16,149.72,22.64,91.95,6.98,19.45,0.341,9.86,21.5,49.2,22.0,12.8,72.1,82.0,62.21
