year,category,subcategory,metric,value,unit,location,source
2015,Gender,Overall | India - West,Female representation %,22.17,%,India - West,HRIS extract
2015,Gender,Overall | Asia ex-India - East Asia,Female representation %,30.36,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - East Asia,Male representation %,69.01,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - East Asia,Other/Undisclosed %,0.63,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - East Asia,Headcount,2226,count,Asia ex-India - East Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - East Asia,Pay ratio (Female:Male),1.001,ratio,Asia ex-India - East Asia,Compensation review
2015,Gender,Overall | Middle East & Africa,Female representation %,8,%,Middle East & Africa,HRIS extract
2015,Gender,Overall | Middle East & Africa,Male representation %,90.62,%,Middle East & Africa,HRIS extract
2015,Gender,Overall | Middle East & Africa,Other/Undisclosed %,1.38,%,Middle East & Africa,HRIS extract
2015,Gender,Overall | Middle East & Africa,Headcount,620,count,Middle East & Africa,HRIS extract
2015,Gender,Overall | Middle East & Africa,Pay ratio (Female:Male),0.874,ratio,Middle East & Africa,Compensation review
2015,Gender,Overall | EMEA - Western Europe,Female representation %,23.3,%,EMEA - Western Europe,HRIS extract
2015,Gender,Overall | EMEA - Western Europe,Male representation %,75.7,%,EMEA - Western Europe,HRIS extract
2015,Gender,Overall | EMEA - Western Europe,Other/Undisclosed %,0.99,%,EMEA - Western Europe,HRIS extract
2015,Gender,Overall | EMEA - Western Europe,Headcount,695,count,EMEA - Western Europe,HRIS extract
2015,Gender,Overall | EMEA - Western Europe,Pay ratio (Female:Male),0.929,ratio,EMEA - Western Europe,Compensation review
2015,Gender,Overall | EMEA - Eastern Europe,Female representation %,34.52,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Overall | EMEA - Eastern Europe,Male representation %,64.37,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Overall | EMEA - Eastern Europe,Other/Undisclosed %,1.11,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Overall | EMEA - Eastern Europe,Headcount,1262,count,EMEA - Eastern Europe,HRIS extract
2015,Gender,Overall | EMEA - Eastern Europe,Pay ratio (Female:Male),0.989,ratio,EMEA - Eastern Europe,Compensation review
2015,Gender,Overall | Americas - North,Female representation %,38.41,%,Americas - North,HRIS extract
2015,Gender,Overall | Americas - North,Male representation %,60.22,%,Americas - North,HRIS extract
2015,Gender,Overall | Americas - North,Other/Undisclosed %,1.37,%,Americas - North,HRIS extract
2015,Gender,Overall | Americas - North,Headcount,4061,count,Americas - North,HRIS extract
2015,Gender,Overall | Americas - North,Pay ratio (Female:Male),0.877,ratio,Americas - North,Compensation review
2015,Gender,Overall | Americas - LatAm,Female representation %,26.88,%,Americas - LatAm,HRIS extract
2015,Gender,Overall | Americas - LatAm,Male representation %,72.19,%,Americas - LatAm,HRIS extract
2015,Gender,Overall | Americas - LatAm,Other/Undisclosed %,0.93,%,Americas - LatAm,HRIS extract
2015,Gender,Overall | Americas - LatAm,Headcount,3217,count,Americas - LatAm,HRIS extract
2015,Gender,Overall | Americas - LatAm,Pay ratio (Female:Male),1.012,ratio,Americas - LatAm,Compensation review
2015,Gender,Leadership | India - West,Female representation %,31.69,%,India - West,HRIS extract
2015,Gender,Leadership | India - West,Male representation %,67.88,%,India - West,HRIS extract
2015,Gender,Leadership | India - West,Other/Undisclosed %,0.43,%,India - West,HRIS extract
2015,Gender,Leadership | India - West,Headcount,4478,count,India - West,HRIS extract
2015,Gender,Leadership | India - West,Pay ratio (Female:Male),0.931,ratio,India - West,Compensation review
2015,Gender,Leadership | India - North,Female representation %,28.23,%,India - North,HRIS extract
2015,Gender,Leadership | India - North,Male representation %,70.47,%,India - North,HRIS extract
2015,Gender,Leadership | India - North,Other/Undisclosed %,1.3,%,India - North,HRIS extract
2015,Gender,Leadership | India - North,Headcount,3181,count,India - North,HRIS extract
2015,Gender,Leadership | India - North,Pay ratio (Female:Male),0.968,ratio,India - North,Compensation review
2015,Gender,Leadership | India - South,Female representation %,20.61,%,India - South,HRIS extract
2015,Gender,Leadership | India - South,Male representation %,78.45,%,India - South,HRIS extract
2015,Gender,Leadership | India - South,Other/Undisclosed %,0.94,%,India - South,HRIS extract
2015,Gender,Leadership | India - South,Headcount,2976,count,India - South,HRIS extract
2015,Gender,Leadership | India - South,Pay ratio (Female:Male),0.918,ratio,India - South,Compensation review
2015,Gender,Leadership | India - East,Female representation %,26.64,%,India - East,HRIS extract
2015,Gender,Leadership | India - East,Male representation %,72.75,%,India - East,HRIS extract
2015,Gender,Leadership | India - East,Other/Undisclosed %,0.6,%,India - East,HRIS extract
2015,Gender,Leadership | India - East,Headcount,4017,count,India - East,HRIS extract
2015,Gender,Leadership | India - East,Pay ratio (Female:Male),1.018,ratio,India - East,Compensation review
2015,Gender,Leadership | India - Central,Female representation %,18.74,%,India - Central,HRIS extract
2015,Gender,Leadership | India - Central,Male representation %,80.05,%,India - Central,HRIS extract
2015,Gender,Leadership | India - Central,Other/Undisclosed %,1.2,%,India - Central,HRIS extract
2015,Gender,Leadership | India - Central,Headcount,1318,count,India - Central,HRIS extract
2015,Gender,Leadership | India - Central,Pay ratio (Female:Male),0.969,ratio,India - Central,Compensation review
2015,Gender,Leadership | India - North-East,Female representation %,9.83,%,India - North-East,HRIS extract
2015,Gender,Leadership | India - North-East,Male representation %,89.62,%,India - North-East,HRIS extract
2015,Gender,Leadership | India - North-East,Other/Undisclosed %,0.54,%,India - North-East,HRIS extract
2015,Gender,Leadership | India - North-East,Headcount,520,count,India - North-East,HRIS extract
2015,Gender,Leadership | India - North-East,Pay ratio (Female:Male),1.019,ratio,India - North-East,Compensation review
2015,Gender,Leadership | Asia ex-India - SE Asia,Female representation %,19.53,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - SE Asia,Male representation %,78.98,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - SE Asia,Other/Undisclosed %,1.49,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - SE Asia,Headcount,3581,count,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - SE Asia,Pay ratio (Female:Male),0.867,ratio,Asia ex-India - SE Asia,Compensation review
2015,Gender,Leadership | Asia ex-India - East Asia,Female representation %,19.12,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - East Asia,Male representation %,79.45,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - East Asia,Other/Undisclosed %,1.43,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - East Asia,Headcount,2083,count,Asia ex-India - East Asia,HRIS extract
2015,Gender,Leadership | Asia ex-India - East Asia,Pay ratio (Female:Male),1.006,ratio,Asia ex-India - East Asia,Compensation review
2015,Gender,Leadership | Middle East & Africa,Female representation %,26.82,%,Middle East & Africa,HRIS extract
2015,Gender,Leadership | Middle East & Africa,Male representation %,71.74,%,Middle East & Africa,HRIS extract
2015,Gender,Leadership | Middle East & Africa,Other/Undisclosed %,1.43,%,Middle East & Africa,HRIS extract
2015,Gender,Leadership | Middle East & Africa,Headcount,2052,count,Middle East & Africa,HRIS extract
2015,Gender,Leadership | Middle East & Africa,Pay ratio (Female:Male),0.916,ratio,Middle East & Africa,Compensation review
2015,Gender,Leadership | EMEA - Western Europe,Female representation %,21.14,%,EMEA - Western Europe,HRIS extract
2015,Gender,Leadership | EMEA - Western Europe,Male representation %,77.43,%,EMEA - Western Europe,HRIS extract
2015,Gender,Leadership | EMEA - Western Europe,Other/Undisclosed %,1.43,%,EMEA - Western Europe,HRIS extract
2015,Gender,Leadership | EMEA - Western Europe,Headcount,1447,count,EMEA - Western Europe,HRIS extract
2015,Gender,Leadership | EMEA - Western Europe,Pay ratio (Female:Male),0.957,ratio,EMEA - Western Europe,Compensation review
2015,Gender,Leadership | EMEA - Eastern Europe,Female representation %,38.85,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Leadership | EMEA - Eastern Europe,Male representation %,60.64,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Leadership | EMEA - Eastern Europe,Other/Undisclosed %,0.51,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Leadership | EMEA - Eastern Europe,Headcount,1531,count,EMEA - Eastern Europe,HRIS extract
2015,Gender,Leadership | EMEA - Eastern Europe,Pay ratio (Female:Male),0.93,ratio,EMEA - Eastern Europe,Compensation review
2015,Gender,Leadership | Americas - North,Female representation %,25.63,%,Americas - North,HRIS extract
2015,Gender,Leadership | Americas - North,Male representation %,73.02,%,Americas - North,HRIS extract
2015,Gender,Leadership | Americas - North,Other/Undisclosed %,1.35,%,Americas - North,HRIS extract
2015,Gender,Leadership | Americas - North,Headcount,3131,count,Americas - North,HRIS extract
2015,Gender,Leadership | Americas - North,Pay ratio (Female:Male),0.968,ratio,Americas - North,Compensation review
2015,Gender,Leadership | Americas - LatAm,Female representation %,25.09,%,Americas - LatAm,HRIS extract
2015,Gender,Leadership | Americas - LatAm,Male representation %,74.33,%,Americas - LatAm,HRIS extract
2015,Gender,Leadership | Americas - LatAm,Other/Undisclosed %,0.58,%,Americas - LatAm,HRIS extract
2015,Gender,Leadership | Americas - LatAm,Headcount,1309,count,Americas - LatAm,HRIS extract
2015,Gender,Leadership | Americas - LatAm,Pay ratio (Female:Male),0.907,ratio,Americas - LatAm,Compensation review
2015,Gender,Middle Management | India - West,Female representation %,33.03,%,India - West,HRIS extract
2015,Gender,Middle Management | India - West,Male representation %,65.63,%,India - West,HRIS extract
2015,Gender,Middle Management | India - West,Other/Undisclosed %,1.35,%,India - West,HRIS extract
2015,Gender,Middle Management | India - West,Headcount,379,count,India - West,HRIS extract
2015,Gender,Middle Management | India - West,Pay ratio (Female:Male),0.897,ratio,India - West,Compensation review
2015,Gender,Middle Management | India - North,Female representation %,31.44,%,India - North,HRIS extract
2015,Gender,Middle Management | India - North,Male representation %,67.6,%,India - North,HRIS extract
2015,Gender,Middle Management | India - North,Other/Undisclosed %,0.96,%,India - North,HRIS extract
2015,Gender,Middle Management | India - North,Headcount,2692,count,India - North,HRIS extract
2015,Gender,Middle Management | India - North,Pay ratio (Female:Male),0.89,ratio,India - North,Compensation review
2015,Gender,Middle Management | India - South,Female representation %,24.76,%,India - South,HRIS extract
2015,Gender,Middle Management | India - South,Male representation %,74.87,%,India - South,HRIS extract
2015,Gender,Middle Management | India - South,Other/Undisclosed %,0.38,%,India - South,HRIS extract
2015,Gender,Middle Management | India - South,Headcount,328,count,India - South,HRIS extract
2015,Gender,Middle Management | India - South,Pay ratio (Female:Male),0.951,ratio,India - South,Compensation review
2015,Gender,Middle Management | India - East,Female representation %,40.3,%,India - East,HRIS extract
2015,Gender,Middle Management | India - East,Male representation %,58.33,%,India - East,HRIS extract
2015,Gender,Middle Management | India - East,Other/Undisclosed %,1.37,%,India - East,HRIS extract
2015,Gender,Middle Management | India - East,Headcount,3956,count,India - East,HRIS extract
2015,Gender,Middle Management | India - East,Pay ratio (Female:Male),1.006,ratio,India - East,Compensation review
2015,Gender,Middle Management | India - Central,Female representation %,39.41,%,India - Central,HRIS extract
2015,Gender,Middle Management | India - Central,Male representation %,59.33,%,India - Central,HRIS extract
2015,Gender,Middle Management | India - Central,Other/Undisclosed %,1.26,%,India - Central,HRIS extract
2015,Gender,Middle Management | India - Central,Headcount,703,count,India - Central,HRIS extract
2015,Gender,Middle Management | India - Central,Pay ratio (Female:Male),0.884,ratio,India - Central,Compensation review
2015,Gender,Middle Management | India - North-East,Female representation %,17.65,%,India - North-East,HRIS extract
2015,Gender,Middle Management | India - North-East,Male representation %,80.86,%,India - North-East,HRIS extract
2015,Gender,Middle Management | India - North-East,Other/Undisclosed %,1.49,%,India - North-East,HRIS extract
2015,Gender,Middle Management | India - North-East,Headcount,2004,count,India - North-East,HRIS extract
2015,Gender,Middle Management | India - North-East,Pay ratio (Female:Male),0.932,ratio,India - North-East,Compensation review
2015,Gender,Middle Management | Asia ex-India - SE Asia,Female representation %,34.3,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - SE Asia,Male representation %,64.81,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - SE Asia,Other/Undisclosed %,0.89,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - SE Asia,Headcount,268,count,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - SE Asia,Pay ratio (Female:Male),0.947,ratio,Asia ex-India - SE Asia,Compensation review
2015,Gender,Middle Management | Asia ex-India - East Asia,Female representation %,28.5,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - East Asia,Male representation %,70.62,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - East Asia,Other/Undisclosed %,0.88,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - East Asia,Headcount,742,count,Asia ex-India - East Asia,HRIS extract
2015,Gender,Middle Management | Asia ex-India - East Asia,Pay ratio (Female:Male),0.988,ratio,Asia ex-India - East Asia,Compensation review
2015,Gender,Middle Management | Middle East & Africa,Female representation %,25.37,%,Middle East & Africa,HRIS extract
2015,Gender,Middle Management | Middle East & Africa,Male representation %,73.74,%,Middle East & Africa,HRIS extract
2015,Gender,Middle Management | Middle East & Africa,Other/Undisclosed %,0.89,%,Middle East & Africa,HRIS extract
2015,Gender,Middle Management | Middle East & Africa,Headcount,4428,count,Middle East & Africa,HRIS extract
2015,Gender,Middle Management | Middle East & Africa,Pay ratio (Female:Male),0.99,ratio,Middle East & Africa,Compensation review
2015,Gender,Middle Management | EMEA - Western Europe,Female representation %,25.75,%,EMEA - Western Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Western Europe,Male representation %,73.06,%,EMEA - Western Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Western Europe,Other/Undisclosed %,1.19,%,EMEA - Western Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Western Europe,Headcount,2499,count,EMEA - Western Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Western Europe,Pay ratio (Female:Male),0.886,ratio,EMEA - Western Europe,Compensation review
2015,Gender,Middle Management | EMEA - Eastern Europe,Female representation %,37.29,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Eastern Europe,Male representation %,61.79,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Eastern Europe,Other/Undisclosed %,0.92,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Eastern Europe,Headcount,589,count,EMEA - Eastern Europe,HRIS extract
2015,Gender,Middle Management | EMEA - Eastern Europe,Pay ratio (Female:Male),1.007,ratio,EMEA - Eastern Europe,Compensation review
2015,Gender,Middle Management | Americas - North,Female representation %,46.24,%,Americas - North,HRIS extract
2015,Gender,Middle Management | Americas - North,Male representation %,53.31,%,Americas - North,HRIS extract
2015,Gender,Middle Management | Americas - North,Other/Undisclosed %,0.45,%,Americas - North,HRIS extract
2015,Gender,Middle Management | Americas - North,Headcount,1600,count,Americas - North,HRIS extract
2015,Gender,Middle Management | Americas - North,Pay ratio (Female:Male),0.906,ratio,Americas - North,Compensation review
2015,Gender,Middle Management | Americas - LatAm,Female representation %,24.0,%,Americas - LatAm,HRIS extract
2015,Gender,Middle Management | Americas - LatAm,Male representation %,75.48,%,Americas - LatAm,HRIS extract
2015,Gender,Middle Management | Americas - LatAm,Other/Undisclosed %,0.52,%,Americas - LatAm,HRIS extract
2015,Gender,Middle Management | Americas - LatAm,Headcount,1714,count,Americas - LatAm,HRIS extract
2015,Gender,Middle Management | Americas - LatAm,Pay ratio (Female:Male),0.937,ratio,Americas - LatAm,Compensation review
2015,Gender,Junior | India - West,Female representation %,30.01,%,India - West,HRIS extract
2015,Gender,Junior | India - West,Male representation %,68.51,%,India - West,HRIS extract
2015,Gender,Junior | India - West,Other/Undisclosed %,1.48,%,India - West,HRIS extract
2015,Gender,Junior | India - West,Headcount,4486,count,India - West,HRIS extract
2015,Gender,Junior | India - West,Pay ratio (Female:Male),0.963,ratio,India - West,Compensation review
2015,Gender,Junior | India - North,Female representation %,26.68,%,India - North,HRIS extract
2015,Gender,Junior | India - North,Male representation %,72.62,%,India - North,HRIS extract
2015,Gender,Junior | India - North,Other/Undisclosed %,0.7,%,India - North,HRIS extract
2015,Gender,Junior | India - North,Headcount,3131,count,India - North,HRIS extract
2015,Gender,Junior | India - North,Pay ratio (Female:Male),0.877,ratio,India - North,Compensation review
2015,Gender,Junior | India - South,Female representation %,18.63,%,India - South,HRIS extract
2015,Gender,Junior | India - South,Male representation %,80.68,%,India - South,HRIS extract
2015,Gender,Junior | India - South,Other/Undisclosed %,0.69,%,India - South,HRIS extract
2015,Gender,Junior | India - South,Headcount,2458,count,India - South,HRIS extract
2015,Gender,Junior | India - South,Pay ratio (Female:Male),0.889,ratio,India - South,Compensation review
2015,Gender,Junior | India - East,Female representation %,28.92,%,India - East,HRIS extract
2015,Gender,Junior | India - East,Male representation %,70.29,%,India - East,HRIS extract
2015,Gender,Junior | India - East,Other/Undisclosed %,0.79,%,India - East,HRIS extract
2015,Gender,Junior | India - East,Headcount,1730,count,India - East,HRIS extract
2015,Gender,Junior | India - East,Pay ratio (Female:Male),1.008,ratio,India - East,Compensation review
2015,Gender,Junior | India - Central,Female representation %,28.66,%,India - Central,HRIS extract
2015,Gender,Junior | India - Central,Male representation %,70.45,%,India - Central,HRIS extract
2015,Gender,Junior | India - Central,Other/Undisclosed %,0.88,%,India - Central,HRIS extract
2015,Gender,Junior | India - Central,Headcount,1475,count,India - Central,HRIS extract
2015,Gender,Junior | India - Central,Pay ratio (Female:Male),0.963,ratio,India - Central,Compensation review
2015,Gender,Junior | India - North-East,Female representation %,25.13,%,India - North-East,HRIS extract
2015,Gender,Junior | India - North-East,Male representation %,74.28,%,India - North-East,HRIS extract
2015,Gender,Junior | India - North-East,Other/Undisclosed %,0.59,%,India - North-East,HRIS extract
2015,Gender,Junior | India - North-East,Headcount,2662,count,India - North-East,HRIS extract
2015,Gender,Junior | India - North-East,Pay ratio (Female:Male),1.018,ratio,India - North-East,Compensation review
2015,Gender,Junior | Asia ex-India - SE Asia,Female representation %,37.89,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - SE Asia,Male representation %,60.81,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - SE Asia,Other/Undisclosed %,1.3,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - SE Asia,Headcount,2126,count,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - SE Asia,Pay ratio (Female:Male),0.985,ratio,Asia ex-India - SE Asia,Compensation review
2015,Gender,Junior | Asia ex-India - East Asia,Female representation %,34.03,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - East Asia,Male representation %,64.69,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - East Asia,Other/Undisclosed %,1.27,%,Asia ex-India - East Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - East Asia,Headcount,4451,count,Asia ex-India - East Asia,HRIS extract
2015,Gender,Junior | Asia ex-India - East Asia,Pay ratio (Female:Male),0.953,ratio,Asia ex-India - East Asia,Compensation review
2015,Gender,Junior | Middle East & Africa,Female representation %,27.19,%,Middle East & Africa,HRIS extract
2015,Gender,Junior | Middle East & Africa,Male representation %,71.91,%,Middle East & Africa,HRIS extract
2015,Gender,Junior | Middle East & Africa,Other/Undisclosed %,0.9,%,Middle East & Africa,HRIS extract
2015,Gender,Junior | Middle East & Africa,Headcount,2308,count,Middle East & Africa,HRIS extract
2015,Gender,Junior | Middle East & Africa,Pay ratio (Female:Male),0.916,ratio,Middle East & Africa,Compensation review
2015,Gender,Junior | EMEA - Western Europe,Female representation %,32.42,%,EMEA - Western Europe,HRIS extract
2015,Gender,Junior | EMEA - Western Europe,Male representation %,66.71,%,EMEA - Western Europe,HRIS extract
2015,Gender,Junior | EMEA - Western Europe,Other/Undisclosed %,0.87,%,EMEA - Western Europe,HRIS extract
2015,Gender,Junior | EMEA - Western Europe,Headcount,664,count,EMEA - Western Europe,HRIS extract
2015,Gender,Junior | EMEA - Western Europe,Pay ratio (Female:Male),1.009,ratio,EMEA - Western Europe,Compensation review
2015,Gender,Junior | EMEA - Eastern Europe,Female representation %,31.11,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Junior | EMEA - Eastern Europe,Male representation %,68.18,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Junior | EMEA - Eastern Europe,Other/Undisclosed %,0.71,%,EMEA - Eastern Europe,HRIS extract
2015,Gender,Junior | EMEA - Eastern Europe,Headcount,3740,count,EMEA - Eastern Europe,HRIS extract
2015,Gender,Junior | EMEA - Eastern Europe,Pay ratio (Female:Male),0.934,ratio,EMEA - Eastern Europe,Compensation review
2015,Gender,Junior | Americas - North,Female representation %,27.27,%,Americas - North,HRIS extract
2015,Gender,Junior | Americas - North,Male representation %,71.49,%,Americas - North,HRIS extract
2015,Gender,Junior | Americas - North,Other/Undisclosed %,1.24,%,Americas - North,HRIS extract
2015,Gender,Junior | Americas - North,Headcount,3928,count,Americas - North,HRIS extract
2015,Gender,Junior | Americas - North,Pay ratio (Female:Male),0.868,ratio,Americas - North,Compensation review
2015,Gender,Junior | Americas - LatAm,Female representation %,22.03,%,Americas - LatAm,HRIS extract
2015,Gender,Junior | Americas - LatAm,Male representation %,76.5,%,Americas - LatAm,HRIS extract
2015,Gender,Junior | Americas - LatAm,Other/Undisclosed %,1.46,%,Americas - LatAm,HRIS extract
2015,Gender,Junior | Americas - LatAm,Headcount,3698,count,Americas - LatAm,HRIS extract
2015,Gender,Junior | Americas - LatAm,Pay ratio (Female:Male),0.984,ratio,Americas - LatAm,Compensation review
2015,Gender,STEM Roles | India - West,Female representation %,32.62,%,India - West,HRIS extract
2015,Gender,STEM Roles | India - West,Male representation %,66.52,%,India - West,HRIS extract
2015,Gender,STEM Roles | India - West,Other/Undisclosed %,0.86,%,India - West,HRIS extract
2015,Gender,STEM Roles | India - West,Headcount,1664,count,India - West,HRIS extract
2015,Gender,STEM Roles | India - West,Pay ratio (Female:Male),0.931,ratio,India - West,Compensation review
2015,Gender,STEM Roles | India - North,Female representation %,24.47,%,India - North,HRIS extract
2015,Gender,STEM Roles | India - North,Male representation %,74.89,%,India - North,HRIS extract
2015,Gender,STEM Roles | India - North,Other/Undisclosed %,0.65,%,India - North,HRIS extract
2015,Gender,STEM Roles | India - North,Headcount,1606,count,India - North,HRIS extract
2015,Gender,STEM Roles | India - North,Pay ratio (Female:Male),0.926,ratio,India - North,Compensation review
2015,Gender,STEM Roles | India - South,Female representation %,31.16,%,India - South,HRIS extract
2015,Gender,STEM Roles | India - South,Male representation %,67.39,%,India - South,HRIS extract
2015,Gender,STEM Roles | India - South,Other/Undisclosed %,1.45,%,India - South,HRIS extract
2015,Gender,STEM Roles | India - South,Headcount,2102,count,India - South,HRIS extract
2015,Gender,STEM Roles | India - South,Pay ratio (Female:Male),0.972,ratio,India - South,Compensation review
2015,Gender,STEM Roles | India - East,Female representation %,20.4,%,India - East,HRIS extract
2015,Gender,STEM Roles | India - East,Male representation %,79.27,%,India - East,HRIS extract
2015,Gender,STEM Roles | India - East,Other/Undisclosed %,0.33,%,India - East,HRIS extract
2015,Gender,STEM Roles | India - East,Headcount,4434,count,India - East,HRIS extract
2015,Gender,STEM Roles | India - East,Pay ratio (Female:Male),0.904,ratio,India - East,Compensation review
2015,Gender,STEM Roles | India - Central,Female representation %,35.39,%,India - Central,HRIS extract
2015,Gender,STEM Roles | India - Central,Male representation %,63.21,%,India - Central,HRIS extract
2015,Gender,STEM Roles | India - Central,Other/Undisclosed %,1.4,%,India - Central,HRIS extract
2015,Gender,STEM Roles | India - Central,Headcount,3083,count,India - Central,HRIS extract
2015,Gender,STEM Roles | India - Central,Pay ratio (Female:Male),0.885,ratio,India - Central,Compensation review
2015,Gender,STEM Roles | India - North-East,Female representation %,27.33,%,India - North-East,HRIS extract
2015,Gender,STEM Roles | India - North-East,Male representation %,71.89,%,India - North-East,HRIS extract
2015,Gender,STEM Roles | India - North-East,Other/Undisclosed %,0.78,%,India - North-East,HRIS extract
2015,Gender,STEM Roles | India - North-East,Headcount,1377,count,India - North-East,HRIS extract
