company,year,sector,revenue,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,ppe_net,capex,depreciation,interest_expense,ebitda,operating_cash_flow,net_debt,goodwill,intangibles
Petra Energy Corp Ltd,2020,PetroChemical,50166.49,2265.51,134451.78,89518.79,24528.88,26786.3,61120.14,6477.63,5960.66,4746.76,10925.93,7134.71,41733.96,2509.27,1021.97
Petra Energy Corp Ltd,2021,PetroChemical,54695.17,4206.95,146866.08,114545.31,35017.35,34422.59,81838.22,7105.87,6945.02,3464.81,8729.5,7782.88,56092.71,8664.98,4672.39
Petra Energy Corp Ltd,2022,PetroChemical,55437.58,4716.17,156006.14,102354.65,43551.01,29692.72,68398.16,5178.02,6115.31,5867.49,11057.5,9037.3,35122.8,1314.14,5197.12
Petra Energy Corp Ltd,2023,PetroChemical,62645.71,7410.24,171451.35,103917.89,32906.09,23874.25,78017.94,6009.96,7110.19,5531.29,15251.23,12683.56,56040.27,8438.96,1179.23
Petra Energy Corp Ltd,2024,PetroChemical,69467.58,6080.11,186764.29,133743.77,50794.72,37786.31,85714.16,7019.9,8459.83,7569.49,9698.0,7066.57,45888.97,5607.76,3921.99
Tundra Refining Group,1989,PetroChemical,1216.76,59.45,2970.25,2140.21,903.04,833.05,1578.56,158.57,152.07,136.39,251.22,189.4,935.34,130.95,16.83
Tundra Refining Group,1990,PetroChemical,1205.32,84.77,3166.86,2449.25,884.52,689.66,1609.73,134.87,108.98,75.02,330.52,280.66,774.66,59.99,17.01
Tundra Refining Group,1991,PetroChemical,1292.07,89.44,3595.65,2036.13,648.17,737.73,2059.12,140.81,166.4,73.98,198.75,131.6,1067.74,191.82,111.53
Tundra Refining Group,1992,PetroChemical,1478.42,144.53,3602.12,2285.22,1083.14,685.81,2110.77,161.33,198.02,80.2,281.79,232.89,899.45,190.57,89.73
Tundra Refining Group,1993,PetroChemical,1572.73,192.68,3821.1,2488.43,1005.09,642.0,1812.83,100.84,158.1,109.02,259.73,232.62,1342.46,140.58,97.47
Tundra Refining Group,1994,PetroChemical,1665.21,246.75,4100.97,2589.9,1025.92,836.77,2319.9,158.39,151.65,150.42,253.63,171.92,1236.34,150.59,109.12
Tundra Refining Group,1995,PetroChemical,1754.08,121.67,4636.93,3283.32,1058.39,730.47,1963.96,221.7,147.6,127.83,429.89,347.32,1504.8,150.54,167.89
Tundra Refining Group,1996,PetroChemical,1811.94,143.75,4876.07,3232.56,981.86,848.26,2530.97,227.75,234.68,195.33,425.28,337.74,1193.07,122.93,124.4
Tundra Refining Group,1997,PetroChemical,1858.47,180.63,5500.85,3628.35,1287.11,875.3,2848.11,119.27,246.09,214.96,355.32,261.71,1288.78,105.42,158.38
Tundra Refining Group,1998,PetroChemical,2054.47,171.33,5816.86,4536.87,1229.32,1003.33,2491.6,263.51,187.79,212.67,523.07,424.7,2377.46,101.36,153.43
Tundra Refining Group,1999,PetroChemical,2450.57,374.24,6211.61,4800.53,1260.61,1346.17,3653.85,255.67,267.88,289.27,660.18,552.43,2334.53,311.78,134.48
Tundra Refining Group,2000,PetroChemical,2652.25,218.65,6274.57,4837.85,1207.95,1297.25,3886.34,234.55,275.6,274.54,784.88,668.36,2172.97,218.33,103.16
Tundra Refining Group,2001,PetroChemical,2619.21,60.04,7164.5,4107.21,1336.11,1587.61,3137.24,345.15,298.01,193.46,531.59,427.15,1736.64,125.39,47.28
Tundra Refining Group,2002,PetroChemical,2758.18,165.54,6980.01,4162.44,2198.71,1090.2,2979.4,202.26,223.66,175.56,648.57,542.25,1808.87,273.71,161.46
Tundra Refining Group,2003,PetroChemical,3198.93,323.43,7627.16,5684.13,1608.39,1420.75,3101.67,205.4,298.0,322.23,937.73,645.78,2952.56,10.78,135.86
Tundra Refining Group,2004,PetroChemical,3596.46,316.25,8318.34,6038.6,2426.06,1750.92,4041.74,451.48,397.2,220.19,721.47,575.9,2499.64,456.81,196.76
Tundra Refining Group,2005,PetroChemical,3667.23,337.38,8740.26,5695.87,2044.97,1794.64,4397.1,321.58,340.99,201.45,830.79,696.03,1953.79,271.95,118.22
Tundra Refining Group,2006,PetroChemical,3978.35,465.96,9392.37,6285.4,2697.6,2374.67,5506.88,375.68,336.02,289.42,1053.73,1000.23,2604.14,387.11,256.14
Tundra Refining Group,2007,PetroChemical,4308.79,300.84,10052.51,7801.1,3145.12,2994.71,4440.46,369.64,424.98,483.61,969.35,834.14,2532.92,183.11,138.27
Tundra Refining Group,2008,PetroChemical,4782.92,296.45,10926.07,8415.68,3228.23,2710.02,5844.4,318.57,534.63,391.99,1490.08,1369.87,3749.76,32.11,218.09
Tundra Refining Group,2009,PetroChemical,4632.04,410.9,11604.14,7874.76,2588.81,2227.05,5291.61,329.27,519.54,241.09,816.56,772.69,3465.05,100.39,87.28
Tundra Refining Group,2010,PetroChemical,5204.01,494.28,11684.84,6722.15,2696.45,1704.81,6576.12,727.16,656.32,373.69,927.28,834.49,2157.04,114.59,384.25
Tundra Refining Group,2011,PetroChemical,5581.0,437.25,13871.79,7848.49,2683.34,1860.47,8497.64,417.91,597.66,317.12,974.97,789.81,2798.86,269.48,178.19
Tundra Refining Group,2012,PetroChemical,5600.3,540.22,13646.72,7779.41,4153.35,2572.13,7304.23,717.3,602.9,446.8,1593.0,1307.39,3685.5,382.02,121.41
Tundra Refining Group,2013,PetroChemical,6728.13,598.88,14351.07,10584.61,2787.96,2596.4,7848.59,902.99,472.71,453.61,1786.74,1183.98,4096.18,215.7,423.9
Tundra Refining Group,2014,PetroChemical,6947.01,934.83,15989.58,8822.64,3459.02,2788.95,9839.16,964.3,937.14,429.3,1782.81,1561.95,3527.05,86.31,153.06
Tundra Refining Group,2015,PetroChemical,7565.71,698.97,16417.57,9188.88,4179.64,2072.38,7383.61,730.36,487.45,546.1,1907.96,1663.36,3709.19,779.39,471.64
Tundra Refining Group,2016,PetroChemical,7814.68,600.16,18693.82,12146.8,4204.61,4459.5,11328.39,718.85,841.96,576.95,1274.95,1139.52,5037.17,187.61,618.56
Tundra Refining Group,2017,PetroChemical,8076.3,1165.8,19341.05,10898.65,5936.25,3776.39,11045.43,785.13,850.79,707.64,1307.4,1038.54,5054.27,826.54,230.13
Tundra Refining Group,2018,PetroChemical,9366.08,519.97,19949.67,12167.83,3782.95,2937.34,10395.98,1173.68,981.88,565.6,1704.5,1343.04,4508.16,747.75,594.37
Tundra Refining Group,2019,PetroChemical,8986.42,716.08,22607.4,16450.16,6744.51,4193.83,13884.83,668.09,1310.54,673.5,1716.09,1508.99,7042.67,434.17,634.31
Tundra Refining Group,2020,PetroChemical,10268.89,1166.26,24813.4,14917.36,7702.29,4961.4,11921.33,1207.16,901.07,701.18,1621.87,1351.49,6880.57,987.37,444.9
Tundra Refining Group,2021,PetroChemical,10595.77,1451.36,25796.74,17747.13,4816.55,4611.2,15180.14,895.2,1103.27,970.08,2790.57,1918.77,7096.76,438.9,894.54
Tundra Refining Group,2022,PetroChemical,11860.21,1078.0,27332.84,16460.3,6267.06,5738.45,16783.82,1638.2,1348.9,587.48,3088.15,2107.35,6352.28,5.81,937.5
Tundra Refining Group,2023,PetroChemical,13589.9,1349.32,29260.72,16681.8,7648.24,5323.42,15490.7,1876.88,1221.32,701.43,3459.47,2358.3,6020.2,584.03,718.74
Tundra Refining Group,2024,PetroChemical,13823.99,800.55,29469.98,18852.85,9355.57,7483.82,14165.17,1555.04,1179.23,846.44,3206.04,2703.15,7479.7,201.28,1037.83
Zephyr Polymers Ltd,1989,PetroChemical,1417.42,91.06,4821.79,2939.08,1538.66,664.99,2335.65,88.53,163.05,99.16,296.25,220.18,931.98,257.37,125.68
Zephyr Polymers Ltd,1990,PetroChemical,1337.93,40.33,4981.98,3857.15,1167.95,1010.52,2077.28,132.42,177.92,239.16,361.57,334.12,1585.26,144.35,78.02
Zephyr Polymers Ltd,1991,PetroChemical,1454.37,202.14,5429.17,3904.8,1648.32,885.09,2324.34,150.05,157.03,223.93,355.27,291.83,2035.5,16.72,66.86
Zephyr Polymers Ltd,1992,PetroChemical,1562.82,233.51,5474.47,3938.1,1655.84,1516.0,3109.02,164.86,244.11,237.71,395.84,309.71,2093.12,209.82,151.64
Zephyr Polymers Ltd,1993,PetroChemical,1659.74,85.14,5963.99,3626.3,1181.69,1244.47,3514.92,205.01,335.5,117.58,528.21,409.49,1581.23,164.28,162.12
Zephyr Polymers Ltd,1994,PetroChemical,1945.37,193.14,6130.49,4563.47,1116.52,1812.02,3644.95,175.99,255.99,257.77,455.4,381.97,2231.11,362.0,183.73
Zephyr Polymers Ltd,1995,PetroChemical,1820.54,165.06,6561.45,5074.02,1686.59,1215.63,3508.53,231.72,307.72,238.16,430.75,371.5,2788.25,384.46,142.13
Zephyr Polymers Ltd,1996,PetroChemical,2164.14,143.9,7511.29,4616.71,2246.52,1245.89,4528.09,268.84,279.94,226.26,462.19,422.03,1956.38,113.5,224.3
Zephyr Polymers Ltd,1997,PetroChemical,2404.29,89.96,8103.33,4809.08,2521.97,1059.26,3597.16,217.34,280.65,252.49,509.88,353.24,1808.83,401.44,292.37
Zephyr Polymers Ltd,1998,PetroChemical,2296.77,324.87,8561.24,5236.13,1989.61,1916.49,3711.76,142.5,324.62,337.26,466.88,377.32,1915.26,278.45,142.59
Zephyr Polymers Ltd,1999,PetroChemical,2577.85,113.61,9016.99,6386.94,1989.71,1651.9,5465.1,295.75,393.78,347.12,462.29,405.61,2378.3,326.4,206.36
Zephyr Polymers Ltd,2000,PetroChemical,2724.98,251.56,9817.39,7124.97,2289.47,2756.63,5436.88,213.53,355.7,214.82,729.43,530.63,2395.16,72.04,177.17
Zephyr Polymers Ltd,2001,PetroChemical,2831.88,154.43,10567.23,7634.93,3338.65,2996.37,4496.97,371.61,403.71,394.82,507.75,439.25,4167.01,74.81,221.65
Zephyr Polymers Ltd,2002,PetroChemical,3165.52,270.19,11219.86,7573.01,3589.77,2291.86,5133.7,276.75,398.29,430.4,726.84,629.9,2487.62,91.06,157.29
Zephyr Polymers Ltd,2003,PetroChemical,3546.98,214.6,11133.22,7786.08,2677.79,2719.15,4918.31,260.72,297.97,247.5,850.17,686.14,3014.19,410.94,177.48
Zephyr Polymers Ltd,2004,PetroChemical,3510.3,416.12,12680.18,8871.67,3411.13,2837.73,7619.12,468.91,621.56,319.08,654.31,486.14,4435.19,232.96,361.05
Zephyr Polymers Ltd,2005,PetroChemical,4065.75,264.59,12455.8,8130.92,2502.3,2679.72,7319.44,556.87,519.18,291.21,781.56,538.97,2913.6,350.57,289.64
Zephyr Polymers Ltd,2006,PetroChemical,4389.9,349.71,14416.44,10886.11,3053.75,3721.31,8855.86,566.9,661.94,342.45,926.27,757.83,4484.03,50.61,486.9
Zephyr Polymers Ltd,2007,PetroChemical,4842.92,249.43,14958.66,9428.74,3372.27,2346.57,8095.49,632.12,531.88,533.78,1465.06,1308.21,4601.39,859.24,581.14
Zephyr Polymers Ltd,2008,PetroChemical,4805.08,394.43,15992.47,11746.41,4795.22,3803.0,9326.09,555.3,579.74,739.51,1206.52,872.12,6311.23,105.98,220.64
Zephyr Polymers Ltd,2009,PetroChemical,5553.8,410.72,16907.01,10556.69,3258.54,3626.22,7354.1,682.14,470.78,414.42,1152.01,839.25,4422.69,303.14,207.99
Zephyr Polymers Ltd,2010,PetroChemical,5908.11,620.81,17734.38,13787.47,3845.42,4797.99,8809.96,782.56,736.14,549.7,1315.85,969.29,7255.43,273.89,337.24
Zephyr Polymers Ltd,2011,PetroChemical,5908.72,429.12,20133.24,11436.68,6332.57,2726.25,10884.47,711.38,901.77,544.68,1461.99,1319.48,4814.52,550.02,551.3
Zephyr Polymers Ltd,2012,PetroChemical,6626.54,686.45,20411.21,14178.85,3715.49,5490.85,10669.62,797.54,928.76,810.2,1789.23,1383.02,4378.94,336.28,337.68
Zephyr Polymers Ltd,2013,PetroChemical,7681.49,568.69,21757.23,14107.01,4956.74,4268.65,10660.55,1046.33,998.39,709.34,1718.17,1426.56,7209.95,769.11,426.92
Zephyr Polymers Ltd,2014,PetroChemical,8233.07,975.18,24308.57,14318.3,5231.38,3802.17,13305.93,598.5,1066.55,873.27,2416.94,2012.73,7669.41,561.48,718.13
Zephyr Polymers Ltd,2015,PetroChemical,8809.0,851.93,24207.25,16091.23,5899.12,5733.78,13986.66,1045.55,840.37,630.15,1920.67,1645.01,5810.67,476.74,553.84
Zephyr Polymers Ltd,2016,PetroChemical,8499.8,882.51,25737.94,18769.2,4686.29,6411.73,10590.37,887.64,843.27,909.53,1914.8,1685.62,10140.97,54.9,140.67
Zephyr Polymers Ltd,2017,PetroChemical,9390.67,703.41,27815.12,15513.65,5231.7,4576.05,15973.27,1263.41,1161.63,832.36,2116.89,1820.03,6189.28,1659.62,1053.98
Zephyr Polymers Ltd,2018,PetroChemical,9608.36,888.48,30333.02,21946.39,6922.92,6585.43,17842.5,821.47,1152.94,1107.35,3041.63,2049.36,10983.05,117.37,454.05
Zephyr Polymers Ltd,2019,PetroChemical,11044.27,942.52,32922.97,19664.64,7561.96,4409.7,13830.78,945.25,929.64,1026.46,2996.85,2719.31,7703.37,1250.28,1249.1
Zephyr Polymers Ltd,2020,PetroChemical,11648.57,1396.13,34995.22,23193.0,6707.59,6908.85,21512.99,1039.98,1325.92,731.7,2889.36,2392.89,9832.53,2016.73,284.26
Zephyr Polymers Ltd,2021,PetroChemical,11689.23,1250.81,38494.53,29997.47,8233.64,6913.92,21640.85,1259.18,1896.27,1462.06,1872.14,1769.16,9054.72,134.36,1149.72
Zephyr Polymers Ltd,2022,PetroChemical,12674.8,877.81,38598.03,28096.52,9748.9,7003.93,19411.38,1095.3,1210.4,949.95,2633.25,2072.72,8775.12,1441.51,1024.05
Zephyr Polymers Ltd,2023,PetroChemical,14379.98,828.29,42102.13,24612.59,8979.7,6736.56,22659.44,1317.39,1396.98,913.26,2528.67,1743.25,13424.71,1979.2,1245.08
Zephyr Polymers Ltd,2024,PetroChemical,14597.88,1341.39,45471.98,32293.14,9765.58,12174.56,18930.93,1093.16,1853.98,1790.22,2085.59,1496.38,13157.12,2206.26,1581.41
Mistral Chemicals Holdings,1989,PetroChemical,865.0,62.06,2934.29,1724.06,928.74,437.63,1764.19,71.44,152.61,98.25,200.33,164.48,836.16,78.29,103.9
Mistral Chemicals Holdings,1990,PetroChemical,862.04,82.81,3225.87,2472.76,723.33,776.36,1639.73,73.56,151.7,105.36,132.32,111.1,863.05,62.48,35.37
Mistral Chemicals Holdings,1991,PetroChemical,910.27,79.76,3319.88,1851.08,1048.54,563.01,1444.76,69.14,91.26,99.87,251.62,211.18,851.75,113.06,96.66
Mistral Chemicals Holdings,1992,PetroChemical,1038.79,82.35,3324.48,2557.12,1022.97,810.93,1627.73,67.4,114.63,147.79,267.45,220.33,1256.36,148.7,70.51
Mistral Chemicals Holdings,1993,PetroChemical,1139.71,78.72,3640.07,2642.71,726.74,1028.55,1920.24,147.1,139.27,169.55,232.31,157.84,1297.42,203.06,133.74
