company,year,esg_capex,green_assets,scope1_emissions_tco2e,scope2_emissions_tco2e,esg_score,sustainability_projects,sector,rating_provider,rating_year,environmental_sub_score,social_sub_score,governance_sub_score,controversies_count,water_withdrawal_kl,waste_generated_mt,renewable_energy_pct,women_in_leadership_pct,ltifr,assurance_level,assurance_provider
Faro Refining Industries,2002,866.83,821.42,73765.46,31313.67,67.4,9,PetroChemical,Sustainalytics,2002,75.7,59.48,69.07,3,440142.9,53940.9,43.52,22.58,0.05,None,—
Faro Refining Industries,2003,1038.96,2213.67,102019.04,56430.81,64.95,15,PetroChemical,CDP,2003,68.51,57.01,69.72,3,2477118.2,34187.6,35.13,24.63,0.342,Reasonable,TUV Nord
Faro Refining Industries,2004,719.81,2748.3,69761.26,36184.58,70.01,13,PetroChemical,Internal,2004,62.92,73.56,73.58,1,1069541.2,109845.8,44.83,29.85,0.05,Limited,EY
Faro Refining Industries,2005,1158.43,3415.87,96041.36,49827.27,71.42,13,PetroChemical,CDP,2005,77.32,78.28,73.58,2,2631799.0,114577.6,53.84,28.44,0.05,Reasonable,TUV Nord
Faro Refining Industries,2006,609.98,2947.41,96027.85,66418.98,71.85,12,PetroChemical,Internal,2006,81.7,70.97,68.81,3,1348476.3,79976.2,52.54,34.26,0.338,Limited,DNV
Faro Refining Industries,2007,1271.98,3366.97,81242.44,48111.17,75.7,14,PetroChemical,CDP,2007,85.73,82.64,73.6,0,2021707.8,158745.6,60.45,28.59,0.519,Reasonable,BSI
Faro Refining Industries,2008,761.79,1238.19,117424.55,72463.49,73.14,17,PetroChemical,CDP,2008,78.94,67.25,70.31,2,1062529.4,72261.2,53.67,31.56,0.05,Limited,—
Faro Refining Industries,2009,1080.3,3332.28,121885.08,81341.66,76.3,13,PetroChemical,Sustainalytics,2009,83.37,75.06,79.14,1,2611520.2,194111.1,49.53,37.33,0.05,Reasonable,BSI
Faro Refining Industries,2010,1284.49,2777.15,128439.63,78795.7,77.57,14,PetroChemical,Internal,2010,77.53,70.76,76.42,3,3399399.5,131042.0,30.88,43.28,0.147,Limited,TUV Nord
Faro Refining Industries,2011,581.7,5469.11,147609.93,69915.77,79.47,12,PetroChemical,S&P CSA,2011,75.23,80.07,78.36,3,2597582.4,112233.6,59.55,29.68,0.05,Reasonable,Deloitte
Faro Refining Industries,2012,1819.28,2437.93,107844.97,57156.05,78.63,19,PetroChemical,Internal,2012,86.62,84.62,80.51,1,3469705.7,225588.7,52.78,39.87,0.05,Limited,ERM
Faro Refining Industries,2013,2938.36,3110.04,152482.29,70196.13,83.96,11,PetroChemical,Internal,2013,89.98,77.76,87.61,0,2370320.3,185629.3,66.74,35.92,0.408,Limited,Deloitte
Faro Refining Industries,2014,1085.26,3137.25,162323.95,88956.38,84.49,16,PetroChemical,Sustainalytics,2014,83.91,83.93,89.5,1,1196903.5,127540.6,60.88,27.46,0.208,Limited,TUV Nord
Faro Refining Industries,2015,3801.19,6532.16,150724.71,91150.0,84.72,18,PetroChemical,Internal,2015,87.47,85.05,84.2,2,3371622.1,191428.4,50.87,38.93,0.23,Limited,TUV Nord
Faro Refining Industries,2016,2033.71,6258.81,126725.43,83100.41,86.81,14,PetroChemical,Sustainalytics,2016,94.19,79.67,93.98,6,1975193.2,301972.0,49.48,36.5,0.302,Limited,Deloitte
Faro Refining Industries,2017,1700.58,9933.59,187880.86,100854.1,89.33,15,PetroChemical,S&P CSA,2017,86.6,97.29,87.6,2,1172278.0,166603.8,44.73,43.76,0.05,Limited,DNV
Faro Refining Industries,2018,2576.88,10196.06,176409.01,106844.01,90.8,14,PetroChemical,S&P CSA,2018,87.65,93.1,84.81,3,2969615.1,218287.7,43.63,35.01,0.05,None,—
Faro Refining Industries,2019,2366.12,7135.5,141419.84,105362.54,90.23,17,PetroChemical,CDP,2019,85.07,86.25,86.32,3,4857130.3,66655.2,61.59,43.17,0.426,None,—
Faro Refining Industries,2020,4452.6,12751.11,186054.58,97354.75,94.82,16,PetroChemical,MSCI,2020,98.0,87.89,94.56,4,1834257.9,378130.7,57.96,39.41,0.05,None,—
Faro Refining Industries,2021,1507.67,4716.14,185478.73,123759.93,92.94,19,PetroChemical,Sustainalytics,2021,86.42,94.49,87.15,0,2199703.3,334022.9,75.09,40.97,0.053,None,—
Faro Refining Industries,2022,2695.55,9472.39,221813.02,92234.8,95.0,13,PetroChemical,S&P CSA,2022,94.54,98.0,98.0,0,3251513.6,406752.3,80.93,39.23,0.05,None,—
Faro Refining Industries,2023,3082.41,10010.31,170152.54,91978.55,95.0,18,PetroChemical,CDP,2023,98.0,98.0,89.15,0,3908903.2,456744.3,88.63,45.53,0.05,Limited,EY
Faro Refining Industries,2024,7530.06,8371.64,240071.93,129922.33,95.0,19,PetroChemical,S&P CSA,2024,93.67,93.04,98.0,0,10119381.0,101497.5,94.84,41.78,0.05,None,—
Petra Energy Corp Ltd,1989,262.15,1162.57,63391.53,36082.78,48.73,4,PetroChemical,Sustainalytics,1989,47.74,41.93,46.77,3,904628.8,70202.8,26.14,14.08,0.703,None,—
Petra Energy Corp Ltd,1990,204.44,1213.3,57480.97,39743.12,52.13,9,PetroChemical,S&P CSA,1990,55.0,49.75,47.45,1,753666.6,59696.5,10.16,19.25,0.566,Reasonable,—
Petra Energy Corp Ltd,1991,250.72,591.8,70028.24,39152.35,53.16,3,PetroChemical,MSCI,1991,51.93,50.68,60.74,4,995888.8,69809.1,10.43,19.09,0.402,Limited,EY
Petra Energy Corp Ltd,1992,456.16,1139.97,68980.78,39931.15,50.95,7,PetroChemical,CDP,1992,52.71,58.25,55.98,1,375648.9,88077.2,15.81,22.31,0.355,Limited,TUV Nord
Petra Energy Corp Ltd,1993,529.34,892.43,91658.83,55985.24,53.57,5,PetroChemical,Sustainalytics,1993,60.66,60.9,53.62,1,827712.4,33684.8,20.61,11.56,0.469,Reasonable,BSI
Petra Energy Corp Ltd,1994,703.21,693.11,90336.76,36309.31,51.46,9,PetroChemical,Sustainalytics,1994,44.59,45.32,52.1,0,2135689.1,36434.2,42.17,14.63,0.153,None,—
Petra Energy Corp Ltd,1995,915.21,2255.06,93861.04,48033.12,54.8,9,PetroChemical,MSCI,1995,55.1,56.18,59.55,2,1234012.4,125457.4,6.27,15.49,0.716,Reasonable,TUV Nord
Petra Energy Corp Ltd,1996,918.88,2160.96,101862.18,50302.48,52.11,12,PetroChemical,Internal,1996,56.57,56.09,61.57,0,1237623.5,47102.4,32.31,15.43,0.781,Reasonable,TUV Nord
Petra Energy Corp Ltd,1997,610.64,1731.1,124407.47,57829.8,56.6,2,PetroChemical,MSCI,1997,63.0,62.97,57.32,2,781730.1,138009.4,30.62,24.66,0.371,Reasonable,BSI
Petra Energy Corp Ltd,1998,991.69,1911.78,127449.16,80121.04,56.79,5,PetroChemical,Internal,1998,60.81,52.62,59.6,3,2813179.7,29715.1,38.31,19.49,0.314,Reasonable,Deloitte
Petra Energy Corp Ltd,1999,798.82,711.4,133511.26,87514.12,53.88,7,PetroChemical,MSCI,1999,55.91,60.07,51.26,3,1360101.5,170427.9,48.85,24.39,0.334,None,—
Petra Energy Corp Ltd,2000,1548.44,1534.23,110075.84,65997.4,58.97,14,PetroChemical,CDP,2000,70.35,65.18,58.24,1,1053488.8,61078.3,41.87,14.9,0.339,None,—
Petra Energy Corp Ltd,2001,1802.04,2241.62,129157.55,66122.61,58.64,12,PetroChemical,Sustainalytics,2001,50.83,62.55,68.59,3,3155541.4,191738.8,37.43,23.23,0.552,Limited,—
Petra Energy Corp Ltd,2002,1239.87,2886.35,119395.73,74549.42,58.15,14,PetroChemical,MSCI,2002,62.19,60.2,63.37,6,1969196.0,198965.4,47.09,20.4,0.362,Limited,Deloitte
Petra Energy Corp Ltd,2003,1249.86,3374.09,135124.96,67482.02,57.46,14,PetroChemical,Internal,2003,65.7,61.65,59.35,5,2202143.1,44961.7,34.51,18.04,0.236,None,—
Petra Energy Corp Ltd,2004,596.46,2140.67,131179.09,76628.04,60.45,14,PetroChemical,S&P CSA,2004,56.43,60.84,67.27,1,680490.2,148158.1,40.68,32.3,0.457,Limited,KPMG
Petra Energy Corp Ltd,2005,1930.02,3651.95,188981.34,80203.41,62.05,17,PetroChemical,Sustainalytics,2005,71.35,64.8,63.56,1,3018831.1,88844.2,46.57,26.75,0.276,Limited,ERM
Petra Energy Corp Ltd,2006,2069.79,5005.7,172335.8,99539.1,60.47,5,PetroChemical,Sustainalytics,2006,57.27,62.62,65.35,2,2326876.8,119446.3,38.93,24.39,0.485,Reasonable,—
Petra Energy Corp Ltd,2007,3159.13,4206.59,176409.48,92512.39,64.05,15,PetroChemical,S&P CSA,2007,74.89,65.65,65.3,4,4076930.4,281263.6,43.41,32.9,0.34,Limited,BSI
Petra Energy Corp Ltd,2008,1006.96,2086.76,209537.18,139394.06,60.37,14,PetroChemical,MSCI,2008,55.38,61.06,67.85,1,1494166.1,193294.7,53.62,33.4,0.18,Limited,Deloitte
Petra Energy Corp Ltd,2009,2653.54,7997.56,221576.36,136197.3,66.43,11,PetroChemical,S&P CSA,2009,62.98,66.73,66.14,3,2080043.7,87470.2,38.59,35.29,0.077,None,—
Petra Energy Corp Ltd,2010,917.55,4611.66,233062.84,142582.92,64.14,13,PetroChemical,Sustainalytics,2010,70.64,65.05,59.88,1,4734861.8,243280.7,66.72,37.39,0.383,Limited,BSI
Petra Energy Corp Ltd,2011,4745.55,9413.41,196336.5,100629.57,62.57,15,PetroChemical,CDP,2011,66.1,64.04,65.26,3,7007196.4,315314.1,58.65,31.87,0.206,Reasonable,EY
Petra Energy Corp Ltd,2012,3761.14,9367.09,237245.58,134263.5,63.2,17,PetroChemical,Sustainalytics,2012,65.14,63.96,69.26,0,7302592.5,103515.9,64.12,32.55,0.192,None,—
Petra Energy Corp Ltd,2013,1199.92,3278.3,237483.6,148753.78,65.05,20,PetroChemical,Internal,2013,60.43,72.3,67.42,2,1817807.1,326706.3,56.62,31.23,0.05,Reasonable,DNV
Petra Energy Corp Ltd,2014,4410.72,3506.06,224774.61,138096.79,69.05,18,PetroChemical,S&P CSA,2014,80.59,75.65,66.24,3,4166145.4,401591.3,42.23,29.8,0.157,Limited,Deloitte
Petra Energy Corp Ltd,2015,1478.97,9986.56,249430.27,193510.78,69.98,18,PetroChemical,Internal,2015,74.83,72.92,73.62,4,8793935.7,526113.8,40.89,36.23,0.05,None,—
Petra Energy Corp Ltd,2016,1583.57,3521.06,284865.49,145061.48,68.91,20,PetroChemical,MSCI,2016,61.36,61.67,64.98,1,7872635.0,237861.2,45.02,36.98,0.05,Reasonable,Deloitte
Petra Energy Corp Ltd,2017,2270.11,6737.85,317375.77,183493.79,68.24,19,PetroChemical,CDP,2017,74.53,71.23,70.94,2,2518598.1,139179.9,56.73,39.72,0.672,Reasonable,—
Petra Energy Corp Ltd,2018,4233.4,8335.89,299000.77,194085.96,67.98,17,PetroChemical,MSCI,2018,64.89,75.79,68.53,2,7015155.9,96993.7,48.48,34.51,0.113,Reasonable,TUV Nord
Petra Energy Corp Ltd,2019,9137.3,4729.8,266976.57,120302.28,71.6,12,PetroChemical,MSCI,2019,74.54,72.99,78.43,3,5088973.7,373395.0,57.08,35.63,0.289,Limited,KPMG
Petra Energy Corp Ltd,2020,4824.72,12515.76,320483.11,194049.31,72.3,16,PetroChemical,Internal,2020,79.27,68.51,66.34,2,10239761.4,191574.1,53.87,39.06,0.05,Limited,KPMG
Petra Energy Corp Ltd,2021,3016.36,20268.04,351995.59,173801.09,75.33,11,PetroChemical,MSCI,2021,81.56,76.75,79.76,3,7423305.9,567058.3,82.34,35.27,0.05,Reasonable,TUV Nord
Petra Energy Corp Ltd,2022,6069.91,23492.37,322846.32,200005.51,73.01,18,PetroChemical,CDP,2022,78.06,72.12,75.82,0,4454698.7,769172.2,75.16,45.51,0.694,Limited,BSI
Petra Energy Corp Ltd,2023,7508.12,22158.55,326505.78,219154.01,72.64,21,PetroChemical,MSCI,2023,65.9,72.91,74.88,2,6137400.3,612504.3,79.78,50.29,0.072,Limited,DNV
Petra Energy Corp Ltd,2024,9860.65,28567.25,310947.25,161567.04,77.08,27,PetroChemical,Internal,2024,76.85,82.11,73.14,3,17261083.5,872771.0,83.81,40.68,0.05,Reasonable,DNV
Tundra Refining Group,1989,95.96,159.6,18782.36,7873.98,67.77,8,PetroChemical,Internal,1989,63.54,68.94,73.45,1,122625.2,18078.5,10.81,14.72,0.453,Limited,Deloitte
Tundra Refining Group,1990,119.97,92.8,19941.94,10493.06,68.18,6,PetroChemical,CDP,1990,67.95,68.17,73.67,4,265473.3,9785.5,4.28,21.82,0.606,None,—
Tundra Refining Group,1991,55.03,225.49,19955.78,8946.46,70.76,9,PetroChemical,Sustainalytics,1991,67.22,66.41,74.51,0,61783.3,8385.7,14.06,21.32,0.23,Limited,DNV
Tundra Refining Group,1992,34.04,251.48,17498.4,10428.14,74.35,10,PetroChemical,Sustainalytics,1992,78.16,73.93,70.34,1,95347.9,16960.8,23.16,22.54,0.608,Limited,—
Tundra Refining Group,1993,137.22,382.03,21516.69,14161.67,75.29,11,PetroChemical,Sustainalytics,1993,76.56,75.39,84.11,3,388024.8,22857.1,22.66,29.25,0.602,Reasonable,—
Tundra Refining Group,1994,187.78,304.48,16815.37,8366.56,71.23,7,PetroChemical,S&P CSA,1994,70.85,77.53,77.84,2,113486.5,24019.7,29.63,23.67,0.658,Limited,ERM
Tundra Refining Group,1995,135.6,263.98,18477.65,12621.46,75.62,6,PetroChemical,S&P CSA,1995,75.58,75.84,78.98,2,473825.3,23425.0,22.55,13.14,0.471,Reasonable,DNV
Tundra Refining Group,1996,140.9,281.68,18757.0,12497.24,72.42,9,PetroChemical,Sustainalytics,1996,80.81,74.01,76.39,4,391323.7,20088.5,36.29,16.77,0.195,Reasonable,KPMG
Tundra Refining Group,1997,139.66,349.96,21764.84,12023.02,74.58,9,PetroChemical,Sustainalytics,1997,66.88,79.28,83.55,2,242021.2,32161.2,25.61,26.79,0.423,Limited,EY
Tundra Refining Group,1998,286.01,650.85,21751.18,16472.84,74.67,10,PetroChemical,Internal,1998,74.08,73.82,81.57,5,259978.0,23425.5,43.5,22.73,0.297,None,—
Tundra Refining Group,1999,174.24,474.86,27967.18,16829.88,76.34,15,PetroChemical,Sustainalytics,1999,73.76,72.97,83.81,6,561769.5,18671.5,37.92,27.74,0.279,Reasonable,BSI
Tundra Refining Group,2000,150.13,267.09,22997.13,16132.02,79.23,12,PetroChemical,Sustainalytics,2000,79.33,75.2,85.97,0,504594.9,33408.6,24.37,31.88,0.434,None,—
Tundra Refining Group,2001,258.27,828.29,25477.92,13928.4,82.08,12,PetroChemical,CDP,2001,85.27,81.73,87.59,5,584563.0,25692.1,32.54,29.81,0.282,None,—
Tundra Refining Group,2002,395.8,727.04,27487.1,16090.55,81.27,6,PetroChemical,MSCI,2002,85.52,83.67,90.06,1,224049.2,20226.2,48.61,22.68,0.357,Limited,EY
Tundra Refining Group,2003,408.62,1128.92,27704.33,13748.51,82.72,11,PetroChemical,S&P CSA,2003,79.34,83.81,87.95,3,844859.0,12021.9,38.64,25.84,0.671,Limited,TUV Nord
Tundra Refining Group,2004,305.81,517.96,27732.56,18225.23,81.1,13,PetroChemical,MSCI,2004,73.66,83.78,78.05,0,529829.5,32301.8,54.3,28.17,0.073,Limited,TUV Nord
Tundra Refining Group,2005,529.67,1227.13,36234.67,22730.49,85.06,17,PetroChemical,Sustainalytics,2005,94.12,89.74,91.91,2,360924.1,15578.6,54.39,42.52,0.334,Limited,KPMG
Tundra Refining Group,2006,611.16,579.97,33897.62,17142.48,86.05,12,PetroChemical,S&P CSA,2006,83.99,92.28,95.18,3,351191.8,54904.8,31.81,39.28,0.489,None,—
Tundra Refining Group,2007,725.01,1086.5,36884.81,23739.21,83.69,11,PetroChemical,MSCI,2007,84.29,78.45,78.44,0,223146.2,26887.9,56.92,31.4,0.234,Reasonable,—
Tundra Refining Group,2008,447.94,614.37,38838.25,22115.66,83.49,13,PetroChemical,MSCI,2008,84.2,81.75,84.33,0,1055095.8,23396.3,47.84,18.74,0.667,Limited,—
Tundra Refining Group,2009,471.32,745.13,42159.05,21743.75,83.2,18,PetroChemical,MSCI,2009,91.05,78.78,80.42,3,418752.7,56492.3,47.58,31.15,0.429,Limited,EY
Tundra Refining Group,2010,636.76,805.69,41234.94,22685.57,84.15,16,PetroChemical,Sustainalytics,2010,86.4,83.39,88.42,4,1233760.7,70534.4,38.53,26.82,0.774,None,—
Tundra Refining Group,2011,728.87,1165.2,40982.01,22809.5,89.25,19,PetroChemical,Sustainalytics,2011,88.58,85.41,87.37,6,899658.3,79749.6,51.8,41.15,0.276,None,—
Tundra Refining Group,2012,729.53,733.58,42426.41,18620.21,88.31,19,PetroChemical,CDP,2012,86.54,92.76,84.65,5,506364.1,16916.9,58.98,31.35,0.05,Limited,ERM
Tundra Refining Group,2013,789.12,611.49,53158.59,22860.39,88.4,12,PetroChemical,Sustainalytics,2013,95.27,85.28,96.15,1,551614.3,17467.0,62.53,37.19,0.194,Limited,BSI
Tundra Refining Group,2014,803.17,897.31,56315.52,34116.13,91.73,15,PetroChemical,MSCI,2014,89.27,90.22,98.0,0,841268.1,37129.4,61.76,34.97,0.05,Reasonable,Deloitte
Tundra Refining Group,2015,340.18,1423.09,47934.92,34516.68,92.45,15,PetroChemical,Internal,2015,85.27,98.0,98.0,0,1321282.2,44522.1,67.12,32.85,0.229,Limited,DNV
Tundra Refining Group,2016,1136.32,1504.53,59620.6,36498.44,93.77,15,PetroChemical,CDP,2016,94.62,98.0,98.0,2,1730576.6,30543.8,81.25,40.03,0.05,None,—
Tundra Refining Group,2017,1285.47,3488.12,69753.48,39380.7,90.36,15,PetroChemical,MSCI,2017,83.01,91.62,98.0,0,2229474.2,124539.8,51.99,36.26,0.05,Limited,Deloitte
Tundra Refining Group,2018,1118.36,2150.36,76796.51,45681.07,92.51,20,PetroChemical,Sustainalytics,2018,90.49,94.54,98.0,2,820242.1,52998.6,63.08,45.6,0.05,None,—
Tundra Refining Group,2019,1831.67,2495.47,63086.28,32973.97,95.0,19,PetroChemical,CDP,2019,96.97,98.0,98.0,4,2870784.9,147890.6,66.92,46.54,0.065,Limited,—
Tundra Refining Group,2020,1807.05,2905.43,86257.61,38877.08,93.24,18,PetroChemical,Sustainalytics,2020,95.93,87.9,90.17,3,2704705.3,46109.2,79.24,44.07,0.05,Limited,Deloitte
Tundra Refining Group,2021,2598.51,3277.85,67927.02,36792.92,95.0,17,PetroChemical,CDP,2021,96.31,96.81,91.28,2,1671405.5,170270.2,77.82,44.07,0.05,Limited,ERM
Tundra Refining Group,2022,1733.25,3027.96,80983.7,42784.68,95.0,14,PetroChemical,S&P CSA,2022,98.0,90.82,98.0,1,2260757.5,121453.1,66.86,40.54,0.05,Limited,—
Tundra Refining Group,2023,2662.7,5688.23,88432.95,37232.67,95.0,16,PetroChemical,Internal,2023,98.0,98.0,92.83,4,2902206.3,126521.8,76.46,47.25,0.084,Limited,ERM
Tundra Refining Group,2024,735.43,4320.79,77979.83,43185.58,95.0,16,PetroChemical,Internal,2024,87.85,92.47,98.0,6,2059920.5,160661.9,61.29,45.67,0.05,Limited,BSI
Zephyr Polymers Ltd,1989,63.86,309.75,21558.29,13281.41,56.38,5,PetroChemical,Internal,1989,59.22,51.2,59.5,2,224597.8,13829.6,24.96,18.73,0.579,Limited,ERM
Zephyr Polymers Ltd,1990,174.87,255.62,20793.96,13796.47,57.9,5,PetroChemical,MSCI,1990,69.25,60.24,66.67,0,466890.7,25712.7,24.83,22.08,0.198,Limited,KPMG
Zephyr Polymers Ltd,1991,98.23,387.78,23923.96,15028.79,58.81,3,PetroChemical,MSCI,1991,67.64,66.73,57.63,2,283906.7,9370.3,6.14,15.64,0.994,Reasonable,ERM
Zephyr Polymers Ltd,1992,112.31,303.18,27551.81,18112.87,62.01,4,PetroChemical,CDP,1992,57.82,57.38,57.51,5,96394.7,32814.6,19.5,18.99,0.966,Limited,ERM
Zephyr Polymers Ltd,1993,125.97,219.32,24498.25,14678.82,58.59,7,PetroChemical,CDP,1993,62.34,53.59,55.28,2,570082.6,31602.5,16.3,17.91,0.596,Limited,EY
Zephyr Polymers Ltd,1994,226.7,139.6,24834.39,16928.1,59.37,6,PetroChemical,CDP,1994,65.05,56.59,60.32,3,345282.1,30685.9,26.72,20.75,0.527,Limited,BSI
Zephyr Polymers Ltd,1995,217.11,393.94,31344.04,19320.62,59.73,6,PetroChemical,S&P CSA,1995,61.68,61.36,69.26,5,460610.1,17613.6,22.46,13.9,0.702,None,—
Zephyr Polymers Ltd,1996,288.61,564.48,28230.71,17570.13,65.34,6,PetroChemical,CDP,1996,73.34,64.08,73.01,6,235249.5,38642.9,12.52,18.19,0.507,Limited,Deloitte
Zephyr Polymers Ltd,1997,93.64,514.24,35701.01,20034.54,61.86,11,PetroChemical,MSCI,1997,68.36,56.86,61.74,8,653632.1,41014.7,22.7,18.03,0.837,Limited,—
Zephyr Polymers Ltd,1998,394.99,741.56,29867.39,15691.98,63.85,9,PetroChemical,MSCI,1998,55.98,60.94,60.99,3,862446.6,23165.0,50.25,19.62,0.765,Reasonable,Deloitte
Zephyr Polymers Ltd,1999,238.67,890.56,30017.83,16253.53,66.27,7,PetroChemical,MSCI,1999,69.47,67.81,74.29,1,495208.7,19027.8,40.88,22.88,0.05,Limited,—
Zephyr Polymers Ltd,2000,355.28,319.32,46420.09,22901.27,67.61,15,PetroChemical,CDP,2000,64.96,70.71,72.55,5,408121.7,35335.1,27.2,23.57,0.319,Limited,BSI
Zephyr Polymers Ltd,2001,162.44,543.84,50481.75,27033.54,66.17,9,PetroChemical,CDP,2001,63.16,59.94,71.25,0,265173.6,46105.5,21.13,30.17,0.135,Limited,—
Zephyr Polymers Ltd,2002,333.95,530.4,41218.3,23545.84,70.75,10,PetroChemical,MSCI,2002,75.51,70.68,71.97,0,994916.1,55692.2,41.34,27.95,0.262,Reasonable,DNV
Zephyr Polymers Ltd,2003,294.54,848.15,45272.6,30493.69,71.09,15,PetroChemical,S&P CSA,2003,72.27,66.1,71.28,3,1305096.9,71585.0,35.47,21.77,0.59,Limited,Deloitte
Zephyr Polymers Ltd,2004,604.57,929.97,39927.29,31252.78,68.92,7,PetroChemical,S&P CSA,2004,69.46,72.7,72.37,2,1210039.4,67687.1,37.76,30.27,0.373,Reasonable,DNV
Zephyr Polymers Ltd,2005,313.51,1223.66,44576.6,26238.93,70.79,12,PetroChemical,Sustainalytics,2005,79.0,69.54,66.18,3,1444110.7,77610.7,31.59,25.35,0.425,Reasonable,KPMG
Zephyr Polymers Ltd,2006,955.28,1458.84,48571.65,27354.55,74.01,13,PetroChemical,Sustainalytics,2006,78.15,77.34,79.09,3,1018253.6,36667.2,46.81,29.59,0.05,Reasonable,TUV Nord
Zephyr Polymers Ltd,2007,948.33,1167.27,60068.91,35451.82,71.22,7,PetroChemical,Sustainalytics,2007,74.26,68.81,78.08,2,1067407.0,85639.4,63.98,26.27,0.19,Reasonable,TUV Nord
Zephyr Polymers Ltd,2008,977.27,1132.72,52024.0,29738.63,73.19,11,PetroChemical,Sustainalytics,2008,69.91,65.38,83.13,2,1002224.4,76281.0,60.79,27.79,0.638,Reasonable,EY
Zephyr Polymers Ltd,2009,914.12,2014.66,65432.29,31397.62,74.34,6,PetroChemical,MSCI,2009,77.0,75.39,81.83,3,1826169.6,80662.0,51.04,32.42,0.05,Reasonable,ERM
Zephyr Polymers Ltd,2010,526.54,1626.38,58663.52,37256.09,75.95,9,PetroChemical,S&P CSA,2010,72.08,81.82,80.6,1,536537.6,82248.9,51.57,38.02,0.599,Limited,DNV
Zephyr Polymers Ltd,2011,868.12,2705.08,65216.09,31402.41,77.29,16,PetroChemical,Internal,2011,86.7,70.55,75.27,1,1175842.3,109366.6,43.61,38.1,0.05,Limited,DNV
Zephyr Polymers Ltd,2012,1012.51,2770.34,78623.68,47429.87,73.6,10,PetroChemical,MSCI,2012,79.0,74.86,78.04,1,1210406.6,49115.1,65.33,48.32,0.356,Reasonable,KPMG
Zephyr Polymers Ltd,2013,782.34,1718.04,73717.07,41923.74,76.4,15,PetroChemical,S&P CSA,2013,81.42,82.28,76.97,4,2364206.5,37180.8,62.44,32.61,0.05,Limited,—
Zephyr Polymers Ltd,2014,735.31,2230.19,83886.2,42605.87,75.84,13,PetroChemical,CDP,2014,76.1,72.52,72.74,5,1996363.5,67926.1,57.62,35.12,0.14,Limited,KPMG
Zephyr Polymers Ltd,2015,2176.93,1708.04,74700.37,52308.99,78.68,13,PetroChemical,S&P CSA,2015,85.18,85.72,73.24,3,2785902.5,167085.6,59.17,36.22,0.284,None,—
Zephyr Polymers Ltd,2016,2213.79,4538.83,76163.64,54291.09,81.46,16,PetroChemical,Internal,2016,75.63,76.28,78.9,2,2020879.3,66154.2,66.5,34.06,0.141,None,—
