company,year,sector,roa,asset_turnover,working_capital,working_cap_turnover,net_debt_to_ebitda,interest_coverage,fcf,ebitda_margin,esg_capex_pct,green_assets_pct,scope1_2_emissions,esg_score,carbon_intensity_per_revenue,esg_capex_per_revenue
Apex Cloud Ltd,1992,Information Technology,0.020645,0.291003,-776.23,-2.9955,4.533,1.9985,169.5,0.254213,0.519555,0.024665,4761.04,66.51,2.0476,0.063531
Apex Cloud Ltd,1993,Information Technology,0.012772,0.27866,278.75,8.7421,4.0106,2.0261,123.09,0.201615,0.380858,0.0687,5644.89,67.87,2.3165,0.052695
Apex Cloud Ltd,1994,Information Technology,0.022578,0.262702,369.16,7.2597,6.873,1.1652,65.63,0.149206,0.755033,0.057035,6107.66,73.4,2.279,0.080333
Apex Cloud Ltd,1995,Information Technology,0.025779,0.289297,771.65,4.3902,4.6923,2.2887,102.18,0.194609,0.999351,0.06824,9052.23,73.77,2.6721,0.104618
Apex Cloud Ltd,1996,Information Technology,0.034881,0.283827,641.04,5.7657,4.6527,1.7506,186.36,0.272481,0.713095,0.030472,8356.65,72.7,2.261,0.095174
Apex Cloud Ltd,1997,Information Technology,0.030081,0.300829,548.42,8.0033,3.2973,1.7465,223.4,0.216277,0.46631,0.028322,10616.21,74.8,2.4187,0.055138
Apex Cloud Ltd,1998,Information Technology,0.031237,0.29743,1626.6,2.9308,3.0062,3.114,598.46,0.251575,1.83627,0.041392,11730.43,76.64,2.4606,0.121555
Apex Cloud Ltd,1999,Information Technology,0.033738,0.31696,2860.24,2.0474,3.1428,2.8699,1014.32,0.28309,0.982162,0.045684,10817.09,82.42,1.8472,0.088663
Apex Cloud Ltd,2000,Information Technology,0.027647,0.314817,2934.08,2.2387,4.7611,1.5673,220.79,0.152518,0.533385,0.022583,16107.31,83.13,2.4522,0.059336
Apex Cloud Ltd,2001,Information Technology,0.035218,0.321383,650.97,11.734,4.4108,2.3561,485.89,0.200795,0.393292,0.061078,17339.87,83.74,2.2701,0.04553
Apex Cloud Ltd,2002,Information Technology,0.017963,0.298142,2096.33,3.5399,2.4979,2.1568,1289.93,0.32,1.164628,0.056502,14505.56,85.63,1.9547,0.097237
Apex Cloud Ltd,2003,Information Technology,0.031153,0.312791,1099.85,8.3906,4.7785,1.8967,806.28,0.22489,1.491676,0.096542,22015.73,87.73,2.3856,0.091853
Apex Cloud Ltd,2004,Information Technology,0.032409,0.310719,-2308.2,-4.6263,5.641,1.7518,156.97,0.212852,0.617377,0.031255,19031.81,89.57,1.7823,0.079058
Apex Cloud Ltd,2005,Information Technology,0.023176,0.335937,2273.4,5.3795,3.7882,1.8731,473.8,0.232966,0.639664,0.081456,22869.13,90.97,1.87,0.078686
Apex Cloud Ltd,2006,Information Technology,0.029297,0.327355,2407.45,5.99,2.3073,3.4061,1910.18,0.318915,0.923291,0.035694,23719.11,92.54,1.6448,0.127845
Apex Cloud Ltd,2007,Information Technology,0.03689,0.319056,4977.41,2.9046,4.134,2.4382,329.82,0.216345,1.05929,0.08184,25264.15,95.0,1.7475,0.137247
Apex Cloud Ltd,2008,Information Technology,0.042086,0.32317,173.26,97.7803,4.9607,1.3752,264.82,0.146841,0.779308,0.077985,30059.92,95.0,1.7743,0.08426
Apex Cloud Ltd,2009,Information Technology,0.02059,0.287232,-2305.94,-7.9008,5.3845,1.5971,1591.82,0.16558,1.108634,0.092378,32686.77,95.0,1.7941,0.074225
Apex Cloud Ltd,2010,Information Technology,0.03365,0.312601,12817.31,1.6897,4.7576,2.9892,1406.21,0.172471,1.578093,0.05352,33213.8,95.0,1.5336,0.155015
Apex Cloud Ltd,2011,Information Technology,0.031071,0.344242,-1237.65,-21.7895,3.5209,4.4273,3476.82,0.286263,0.759573,0.117645,38125.77,95.0,1.4138,0.088077
Apex Cloud Ltd,2012,Information Technology,0.026826,0.332259,590.39,47.2738,3.3391,2.5067,3266.41,0.257621,1.262181,0.069862,42011.6,95.0,1.5053,0.106505
Apex Cloud Ltd,2013,Information Technology,0.036401,0.310818,15787.89,1.9092,4.0855,2.9329,1210.32,0.18738,0.583176,0.030144,46007.41,95.0,1.5263,0.067837
Apex Cloud Ltd,2014,Information Technology,0.022719,0.34905,3733.4,10.7361,8.8268,1.0323,800.34,0.128817,1.362305,0.123796,45834.24,95.0,1.1435,0.091583
Apex Cloud Ltd,2015,Information Technology,0.03948,0.357454,10573.97,4.0926,3.4726,2.4994,3038.58,0.214167,1.703058,0.079887,71621.09,95.0,1.655,0.166261
Apex Cloud Ltd,2016,Information Technology,0.023432,0.338929,11278.02,4.1061,3.5065,1.4821,2164.79,0.172369,1.260861,0.148844,77308.99,95.0,1.6694,0.083718
Apex Cloud Ltd,2017,Information Technology,0.029959,0.348186,12459.41,4.4431,2.7271,2.732,4283.57,0.262387,1.713692,0.084422,73582.84,95.0,1.3292,0.170238
Apex Cloud Ltd,2018,Information Technology,0.011608,0.353909,13910.82,4.5369,2.5384,2.1737,8576.55,0.255113,2.663282,0.128144,78647.53,95.0,1.2462,0.179518
Apex Cloud Ltd,2019,Information Technology,0.013019,0.321459,11141.52,5.7447,3.3714,4.0139,4791.0,0.269103,1.585302,0.131809,89119.75,95.0,1.3924,0.178221
Apex Cloud Ltd,2020,Information Technology,0.022266,0.379058,25964.33,3.1936,4.08,2.0982,3899.71,0.186009,1.892519,0.092115,105678.03,95.0,1.2745,0.158659
Apex Cloud Ltd,2021,Information Technology,0.025628,0.323811,-11756.79,-7.4382,2.6323,4.2682,6058.31,0.254018,2.030211,0.047988,114684.49,95.0,1.3114,0.219264
Apex Cloud Ltd,2022,Information Technology,0.029385,0.344335,2533.78,39.7081,3.0447,2.7842,9377.13,0.212442,1.157061,0.113163,141342.17,95.0,1.4048,0.074945
Apex Cloud Ltd,2023,Information Technology,0.038753,0.333548,31732.39,3.3013,4.5453,1.8768,1028.89,0.205647,1.573702,0.111257,145245.25,95.0,1.3865,0.210049
Apex Cloud Ltd,2024,Information Technology,0.02788,0.376561,38792.77,3.5612,2.6607,3.4955,16046.75,0.227141,1.984552,0.061818,129408.4,95.0,0.9367,0.169813
Apex Digital Co,1989,Information Technology,0.026685,0.323674,149.59,6.3707,3.7375,2.3315,107.98,0.220577,0.604813,0.048154,3275.81,45.73,3.4374,0.054586
Apex Digital Co,1990,Information Technology,0.025471,0.345276,157.48,7.4302,3.6555,2.8939,127.1,0.268616,0.887566,0.087648,3439.53,49.54,2.9395,0.071378
Apex Digital Co,1991,Information Technology,0.039826,0.374035,-98.47,-14.0338,3.2461,3.5408,127.29,0.248229,0.990527,0.101508,4542.38,52.28,3.287,0.089282
Apex Digital Co,1992,Information Technology,0.036808,0.331661,515.88,2.7857,4.4536,2.6447,85.35,0.172271,0.410738,0.100193,5341.23,54.74,3.7167,0.028161
Apex Digital Co,1993,Information Technology,0.041451,0.326792,-60.29,-25.1421,3.4725,1.9771,104.79,0.207003,0.922651,0.067048,5512.53,55.53,3.6367,0.080188
Apex Digital Co,1994,Information Technology,0.041486,0.338144,154.69,11.5368,2.1434,3.5526,183.54,0.265254,0.67383,0.103539,5159.39,57.37,2.891,0.063425
Apex Digital Co,1995,Information Technology,0.023556,0.367785,423.45,5.0303,3.2477,3.6088,341.05,0.246321,1.587975,0.095056,6016.67,55.53,2.8246,0.106011
Apex Digital Co,1996,Information Technology,0.027729,0.343467,31.08,78.6084,5.8355,1.5749,236.12,0.213319,0.742023,0.081358,7156.03,58.83,2.929,0.048352
Apex Digital Co,1997,Information Technology,0.022392,0.338861,816.5,3.2241,5.0074,1.4539,137.08,0.167415,1.600441,0.071266,6998.82,61.3,2.6586,0.138006
Apex Digital Co,1998,Information Technology,0.033043,0.331622,-360.27,-8.2568,3.3622,2.3109,383.73,0.240201,1.043277,0.037152,10099.24,60.18,3.3951,0.067264
Apex Digital Co,1999,Information Technology,0.031625,0.363887,237.93,14.8536,4.5179,1.9891,23.51,0.17238,1.194171,0.031988,8476.92,65.09,2.3986,0.130672
Apex Digital Co,2000,Information Technology,0.026152,0.365788,-410.26,-9.9926,5.0674,1.6598,343.47,0.19634,0.860497,0.079746,9962.61,68.45,2.4302,0.066248
Apex Digital Co,2001,Information Technology,0.047547,0.354601,409.43,10.4811,3.2021,1.895,667.48,0.263091,0.923709,0.111161,13901.91,67.58,3.2396,0.08645
Apex Digital Co,2002,Information Technology,0.030134,0.367894,115.25,45.5846,3.0676,4.6172,715.67,0.25138,0.440536,0.091135,10857.34,70.81,2.0666,0.04222
Apex Digital Co,2003,Information Technology,0.031532,0.345003,870.35,6.4069,7.5251,1.4779,218.8,0.134018,2.368675,0.15034,15868.16,72.01,2.8457,0.152284
Apex Digital Co,2004,Information Technology,0.033125,0.390839,1452.16,4.6057,6.7219,2.6731,137.04,0.120139,0.618076,0.037654,16935.91,74.44,2.5322,0.045898
Apex Digital Co,2005,Information Technology,0.032123,0.38548,24.67,304.5347,3.8494,2.1188,601.67,0.212236,0.688701,0.085608,17138.4,78.55,2.2812,0.08361
Apex Digital Co,2006,Information Technology,0.024461,0.328363,633.51,12.3886,3.5933,1.9133,569.1,0.235558,1.172867,0.138368,20643.81,77.13,2.6304,0.127054
Apex Digital Co,2007,Information Technology,0.033484,0.361897,3127.29,3.0834,3.2304,3.4894,881.61,0.19669,1.567034,0.144728,27643.82,80.32,2.8668,0.136607
Apex Digital Co,2008,Information Technology,0.042102,0.37292,12.1,917.3678,2.4194,3.0834,1190.99,0.301532,0.854528,0.164326,26485.17,79.9,2.386,0.11148
Apex Digital Co,2009,Information Technology,0.013079,0.401796,1009.53,13.1079,4.1651,4.0511,1616.44,0.214148,2.272274,0.180853,23366.64,85.16,1.7658,0.152023
Apex Digital Co,2010,Information Technology,0.029384,0.381348,92.9,143.7115,3.4965,2.9985,2343.7,0.283371,2.541168,0.052048,32218.53,86.75,2.4132,0.176984
Apex Digital Co,2011,Information Technology,0.030702,0.407095,1399.08,11.7449,3.8338,2.8026,-379.39,0.159846,0.597198,0.188562,37580.05,85.32,2.287,0.082855
Apex Digital Co,2012,Information Technology,0.023465,0.355542,4898.33,3.5293,2.2089,2.2501,813.96,0.235968,1.801427,0.057902,43092.47,86.38,2.4926,0.237346
Apex Digital Co,2013,Information Technology,0.023654,0.354309,1807.08,10.7496,2.2157,3.5616,927.27,0.251845,0.552088,0.094725,44825.39,89.77,2.3076,0.066778
Apex Digital Co,2014,Information Technology,0.044447,0.416393,-4500.42,-5.34,3.504,4.1868,1602.24,0.244202,0.947988,0.217256,45283.83,93.1,1.8843,0.092368
Apex Digital Co,2015,Information Technology,0.044489,0.357536,4603.78,5.4957,2.2862,4.509,2596.73,0.24524,0.557677,0.084153,53162.05,91.7,2.1012,0.066348
Apex Digital Co,2016,Information Technology,0.0396,0.40243,-44.03,-713.7956,2.3856,3.5934,4929.08,0.287224,1.415414,0.071368,55377.55,95.0,1.762,0.119645
Apex Digital Co,2017,Information Technology,0.044554,0.421597,10121.94,3.4283,5.2131,1.8513,2219.24,0.154668,2.578388,0.165126,66774.65,95.0,1.9243,0.170317
Apex Digital Co,2018,Information Technology,0.035086,0.376101,-4563.71,-8.2555,5.4238,2.2005,849.94,0.162225,1.413971,0.196344,73296.19,95.0,1.9454,0.120414
Apex Digital Co,2019,Information Technology,0.01581,0.370327,-4120.27,-9.6348,2.4191,3.7079,6801.76,0.306414,2.39762,0.122993,83668.0,95.0,2.1076,0.262302
Apex Digital Co,2020,Information Technology,0.048251,0.417924,4799.9,10.6789,6.8604,1.2319,107.77,0.14674,2.67174,0.154148,90246.6,95.0,1.7606,0.259088
Apex Digital Co,2021,Information Technology,0.023228,0.376783,-3264.4,-16.6688,4.1968,2.1554,3088.16,0.186655,2.60239,0.131543,111784.39,95.0,2.0543,0.208421
Apex Digital Co,2022,Information Technology,0.03791,0.382161,21782.51,2.7241,3.588,2.4246,4465.46,0.223383,0.622341,0.093298,103993.56,95.0,1.7525,0.08505
Apex Digital Co,2023,Information Technology,0.039623,0.38656,15242.66,4.2824,4.1101,1.3836,3969.19,0.159175,3.29275,0.226949,112842.87,95.0,1.7287,0.229443
Apex Digital Co,2024,Information Technology,0.036293,0.401443,747.37,105.6881,4.5406,1.6656,5317.11,0.19121,3.034301,0.244151,131698.53,95.0,1.6673,0.297942
Apex Petroleum Group,1989,Oil & Gas Upstream,0.018865,0.366345,324.4,8.8217,4.0768,2.7474,284.58,0.216663,1.43701,0.073048,123300.88,76.92,43.0855,0.099886
Apex Petroleum Group,1990,Oil & Gas Upstream,0.035207,0.358259,827.84,3.409,3.0665,3.3718,150.72,0.191451,0.641491,0.029641,118719.6,77.37,42.0681,0.052759
Apex Petroleum Group,1991,Oil & Gas Upstream,0.028192,0.356852,1539.3,1.9585,2.1769,3.0641,224.27,0.227512,0.396294,0.084541,118477.56,82.26,39.2994,0.042209
Apex Petroleum Group,1992,Oil & Gas Upstream,0.024445,0.373957,1302.44,2.5607,2.1335,4.8314,403.79,0.252587,0.661782,0.031905,119809.83,80.72,35.9236,0.076375
Apex Petroleum Group,1993,Oil & Gas Upstream,0.042473,0.367215,928.3,3.476,4.5406,1.9742,188.49,0.201689,0.570768,0.087436,130784.55,80.29,40.5307,0.044341
Apex Petroleum Group,1994,Oil & Gas Upstream,0.026388,0.406435,243.23,15.3825,4.3254,1.9712,193.55,0.199477,1.323162,0.04549,114889.24,84.74,30.7069,0.12204
Apex Petroleum Group,1995,Oil & Gas Upstream,0.036453,0.366165,-406.77,-8.9389,4.2247,2.8848,237.09,0.229276,1.231093,0.097417,126689.57,85.96,34.8425,0.119173
Apex Petroleum Group,1996,Oil & Gas Upstream,0.04008,0.38269,1191.12,3.3945,1.8623,3.747,569.68,0.291793,1.559369,0.058146,145000.37,88.62,35.8618,0.10855
Apex Petroleum Group,1997,Oil & Gas Upstream,0.036353,0.381833,-947.26,-4.5233,4.3363,1.9106,250.55,0.183953,1.33774,0.043393,149508.93,89.66,34.8933,0.113111
Apex Petroleum Group,1998,Oil & Gas Upstream,0.022384,0.41346,923.52,5.0568,3.2181,3.5631,168.05,0.200621,1.468891,0.056127,135895.65,89.73,29.0992,0.139781
Apex Petroleum Group,1999,Oil & Gas Upstream,0.025605,0.351161,-1176.5,-3.869,3.2238,2.0208,252.11,0.240485,1.099944,0.069105,135690.09,92.73,29.8097,0.12164
Apex Petroleum Group,2000,Oil & Gas Upstream,0.034849,0.348298,1457.32,3.2296,3.1321,3.8852,482.54,0.2629,1.767129,0.110043,146217.11,92.5,31.0667,0.166859
Apex Petroleum Group,2001,Oil & Gas Upstream,0.024253,0.408689,588.47,9.3639,4.077,2.9704,508.91,0.229663,0.644369,0.065549,170635.55,95.0,30.9663,0.055537
Apex Petroleum Group,2002,Oil & Gas Upstream,0.039081,0.386288,382.12,15.362,3.9457,2.633,401.96,0.178611,2.179835,0.119883,158895.91,95.0,27.0686,0.155942
Apex Petroleum Group,2003,Oil & Gas Upstream,0.023301,0.440926,1636.56,4.0386,2.812,1.7748,100.19,0.140163,1.002114,0.105527,162264.61,95.0,24.5507,0.081772
Apex Petroleum Group,2004,Oil & Gas Upstream,0.042657,0.425097,992.11,6.5609,2.7146,2.8601,334.11,0.193068,0.766486,0.065686,145343.21,95.0,22.3291,0.098621
Apex Petroleum Group,2005,Oil & Gas Upstream,0.039783,0.440489,1999.57,3.5147,3.7759,1.8151,-57.63,0.136622,0.601236,0.12979,176128.9,95.0,25.0616,0.066722
Apex Petroleum Group,2006,Oil & Gas Upstream,0.038471,0.39084,-859.16,-8.4181,2.5912,2.3205,677.13,0.23547,1.664854,0.143165,206357.41,95.0,28.5321,0.132945
Apex Petroleum Group,2007,Oil & Gas Upstream,0.040145,0.432217,537.61,14.7067,4.3917,3.4655,337.5,0.208691,0.468699,0.163254,168998.67,95.0,21.3747,0.046229
Apex Petroleum Group,2008,Oil & Gas Upstream,0.050717,0.416622,-1196.28,-6.5078,2.1205,3.5385,1307.41,0.292849,0.856319,0.130143,164298.52,95.0,21.1041,0.081423
Apex Petroleum Group,2009,Oil & Gas Upstream,0.021875,0.452497,-529.17,-16.697,2.9023,3.0752,412.13,0.188348,1.449276,0.176691,247716.65,95.0,28.0363,0.14783
Apex Petroleum Group,2010,Oil & Gas Upstream,0.021357,0.384871,-636.93,-13.0894,3.0583,3.0363,680.16,0.23678,1.353559,0.144445,273411.34,95.0,32.7949,0.168652
Apex Petroleum Group,2011,Oil & Gas Upstream,0.045615,0.43324,1406.55,6.6758,3.1314,2.1905,377.44,0.188037,0.852403,0.191753,203463.61,95.0,21.6686,0.078579
Apex Petroleum Group,2012,Oil & Gas Upstream,0.024318,0.403704,-663.2,-15.056,2.4147,3.4738,1203.11,0.205262,1.815145,0.074684,229371.72,95.0,22.9712,0.11722
Apex Petroleum Group,2013,Oil & Gas Upstream,0.017438,0.395059,2093.25,4.6647,2.7366,2.852,765.96,0.206041,2.044308,0.081745,191507.02,95.0,19.6126,0.192784
Apex Petroleum Group,2014,Oil & Gas Upstream,0.031456,0.4504,86.98,129.0362,3.5384,2.0644,163.18,0.180588,0.917833,0.183869,256920.02,95.0,22.8911,0.126059
Apex Petroleum Group,2015,Oil & Gas Upstream,0.045372,0.408177,195.5,59.8491,2.2354,3.2267,1587.16,0.273233,0.796748,0.199372,242483.21,95.0,20.7242,0.062697
Apex Petroleum Group,2016,Oil & Gas Upstream,0.052323,0.444882,506.27,24.7417,4.6989,2.216,163.08,0.192387,0.612595,0.132258,281592.36,95.0,22.4806,0.080138
Apex Petroleum Group,2017,Oil & Gas Upstream,0.022902,0.396921,213.23,57.1968,2.2792,3.9637,985.73,0.26172,0.527375,0.083745,278857.39,95.0,22.8645,0.055672
Apex Petroleum Group,2018,Oil & Gas Upstream,0.022915,0.419838,1291.47,10.4211,5.8213,1.5127,231.54,0.158078,1.566822,0.106185,313588.42,95.0,23.3004,0.14767
Apex Petroleum Group,2019,Oil & Gas Upstream,0.02393,0.388881,1827.51,7.4496,4.1694,2.6045,1148.38,0.214023,1.479462,0.193758,289670.54,95.0,21.2771,0.122491
Apex Petroleum Group,2020,Oil & Gas Upstream,0.042538,0.372845,594.53,23.0436,3.3233,3.622,515.53,0.198644,1.427075,0.102096,259854.85,95.0,18.9674,0.183848
Apex Petroleum Group,2021,Oil & Gas Upstream,0.019064,0.41944,1219.25,12.7873,1.8651,5.3237,2015.32,0.248771,1.735996,0.079162,280344.61,95.0,17.9813,0.127473
Apex Petroleum Group,2022,Oil & Gas Upstream,0.018491,0.418971,-1329.33,-12.4218,3.4474,2.2258,1812.03,0.246775,0.789176,0.073183,278547.6,95.0,16.8687,0.088671
Apex Petroleum Group,2023,Oil & Gas Upstream,0.025559,0.423866,3808.4,4.7792,2.2239,3.3212,652.37,0.215351,1.02421,0.151313,327445.07,95.0,17.9904,0.110079
Apex Petroleum Group,2024,Oil & Gas Upstream,0.061029,0.422239,2356.89,7.7777,2.309,2.5533,1301.41,0.234069,2.245277,0.200252,330350.83,95.0,18.0212,0.190075
Argo Aggregates Group,1989,Cement & Construction Materials,0.027955,0.30448,-241.89,-10.449,4.9966,1.7177,210.53,0.191359,0.2954,0.023919,267637.89,63.44,105.8904,0.02091
Argo Aggregates Group,1990,Cement & Construction Materials,0.028247,0.281742,802.48,3.0922,3.3267,2.6605,105.44,0.207091,0.340979,0.023573,220249.34,64.52,88.7594,0.033251
Argo Aggregates Group,1991,Cement & Construction Materials,0.028966,0.305261,641.58,4.4781,3.6802,2.5153,220.94,0.283489,0.73745,0.040181,208699.72,66.35,72.6402,0.08043
Argo Aggregates Group,1992,Cement & Construction Materials,0.018055,0.288422,-299.41,-9.5832,4.7625,2.7282,223.32,0.204963,1.194039,0.035704,263499.58,65.64,91.8341,0.090482
Argo Aggregates Group,1993,Cement & Construction Materials,0.02984,0.303357,-415.71,-7.3366,5.1946,2.5505,222.45,0.205146,1.217347,0.05964,305117.55,65.93,100.0425,0.10925
Argo Aggregates Group,1994,Cement & Construction Materials,0.026609,0.290737,1048.5,2.953,6.7879,1.9084,204.54,0.151104,1.483687,0.027683,310551.73,67.72,100.3003,0.103252
Argo Aggregates Group,1995,Cement & Construction Materials,0.037608,0.301389,430.04,7.8947,2.2465,2.3298,359.3,0.291621,0.265203,0.084601,268363.82,66.39,79.0463,0.030559
